,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,central_density,mass_1__in_GeV,dimensionless_mass_1,central_density_1_in_GEV4,dimensionless_central_density_1
44,59060.402685268455,600,138017.20561063083,1726.7666942349415,1.5836754782152023,1.1541990234417865,0.26246417927561744,0.0023374848403776394,139743.97230486578,2.9264755989231346e+56,144.72619210892282,1.059033005564838,1.3074481550183186e-06
45,60402.68456445637,600,140251.80617231154,1726.7666942349415,1.579011726441789,1.1407952052120232,0.2618902004863956,0.002261597393694803,141978.57286654648,2.9200757354233114e+56,144.40969267366796,1.0761795326127042,1.3286167069292643e-06
46,61744.9664436443,600,142476.58377032797,1726.7666942349415,1.5744755602652014,1.1278850883996048,0.2613230919589957,0.002189919121945005,144203.35046456291,2.9137524753428025e+56,144.09698159092284,1.0932506861396611,1.3496922051106928e-06
47,63087.248322832216,600,144691.8137562341,1726.7666942349415,1.5700603460030118,1.1154372018457253,0.2607626569524148,0.002122119894072377,146418.58045046905,2.9075036250194254e+56,143.78795037511713,1.1102485789720227,1.3706772579901515e-06
48,64429.530202020134,600,146897.771481584,1726.7666942349415,1.5657611990155904,1.103423951538805,0.2602089434060289,0.002057903759050053,148624.53817581895,2.9013297189772225e+56,143.48262546065172,1.1271753239361038,1.3915744739951898e-06
49,65771.81208120805,600,149094.73229793162,1726.7666942349415,1.561573353294357,1.091819730814766,0.25966191309942643,0.0019970035509669767,150821.49899216657,2.8952303310586047e+56,143.18098577229023,1.1440330338582179,1.4123864615533553e-06
50,67114.09396039597,600,151282.97155683115,1726.7666942349415,1.5574922190824545,1.0806010425119679,0.2591215126698856,0.0019391777176670927,153009.7382510661,2.8892048662692245e+56,142.8830018851277,1.160823821564681,1.4331158290921987e-06
51,68456.37583958388,600,153462.76460983654,1726.7666942349415,1.5535133056754544,1.0697462784964125,0.2585876831976416,0.0018842073422901736,155189.53130407148,2.883252667653704e+56,142.58864131003276,1.177549799881806,1.4537651850392667e-06
52,69798.6577187718,600,155634.3868085018,1726.7666942349415,1.5496325204226402,1.0592355277850412,0.2580603602859813,0.0018318935671048228,157361.15350273674,2.8773730171886913e+56,142.2978685378129,1.1942130816359082,1.474337137822109e-06
53,71140.93959795972,600,157798.11350438104,1726.7666942349415,1.5458463719866677,1.0490504057989825,0.25753947252618153,0.001782055346936145,159524.88019861598,2.8715651186669245e+56,142.01064419276122,1.2108157796533023,1.4948342958682745e-06
54,72483.22147714764,600,159954.21379547773,1726.7666942349415,1.5421508984708125,1.0391739037143046,0.2570249432092246,0.0017345275071044143,161680.98048971267,2.8658281167828542e+56,141.72692597651888,1.2273599587755861,1.5152592083649212e-06
55,73825.50335633557,600,162102.89070463038,1726.7666942349415,1.5385425150852148,1.0295902590499562,0.2565166953605536,0.001689159055097845,163829.65739886533,2.860161153270173e+56,141.44667144430534,1.2438471768366974,1.535613798563824e-06
56,75167.78523552348,600,164244.30757297098,1726.7666942349415,1.5350182383728863,1.0202848330746512,0.2560146450653174,0.0016458116765645965,165971.07426720593,2.8545632924782893e+56,141.1698343243706,1.2602786871850804,1.5558996138087413e-06
57,76510.0671147114,600,166378.62720091696,1726.7666942349415,1.5315749714760107,1.0112440104399807,0.2555187075282909,0.001604358447925287,168105.3938951519,2.849033588940444e+56,140.896367859515,1.276655739020171,1.5761181963211987e-06
58,77852.34899389932,600,168506.01238888563,1726.7666942349415,1.5282095325438885,1.0024551062273936,0.2550287958461652,0.001564682691904154,170232.77908312058,2.8435710736847426e+56,140.62622413011388,1.292979581541404,1.596271088322721e-06
59,79194.63087308724,600,170626.62593729433,1726.7666942349415,1.5249194846475607,0.9939062873151698,0.2545448227392025,0.001526676976277571,172353.39263152928,2.838174773542108e+56,140.35935500897455,1.3092514639482147,1.616359832034833e-06
60,80536.91275227517,600,172740.63064656037,1726.7666942349415,1.521701998027683,0.98558649741883,0.2540666972172989,0.0014902422134044177,174467.39734079532,2.832843673972883e+56,140.09571032295995,1.3254726354400375,1.6363859696790586e-06
61,81879.19463146308,600,174848.1893171011,1726.7666942349415,1.5185544291981952,0.9774853943107629,0.2535943306182335,0.0014552868830251808,176574.95601133603,2.8275767863933035e+56,139.83524118255815,1.341644345216308,1.6563510434769235e-06
62,83221.476510651,600,176949.46474933394,1726.7666942349415,1.515474718999781,0.9695932895464358,0.25312763363031815,0.0014217263220592253,178676.2314435689,2.8223731149780474e+56,139.57789834013255,1.357767842476462,1.6762565956499533e-06
63,84563.75838983891,600,179044.6197436761,1726.7666942349415,1.5124602532400584,0.9619010961696158,0.25266651571094284,0.0013894820975560332,180771.38643791105,2.817231650177013e+56,139.3236318693,1.3738443764199333,1.6961041684196708e-06
64,85906.04026902684,600,181133.817100545,1726.7666942349415,1.5095090209067636,0.9544002811334785,0.2522108873858404,0.0013584814528228141,182860.58379477996,2.8121513943521206e+56,139.0723924327756,1.3898751962461577,1.7158953040076022e-06
65,87248.32214821476,600,183217.21962035805,1726.7666942349415,1.5066189502166738,0.9470828220934693,0.2517606598314591,0.0013286568043551549,184943.986314593,2.8071313571207695e+56,138.82413105208758,1.4058615511545707,1.7356315446352724e-06
66,88590.60402740267,600,185294.98963760154,1726.7666942349415,1.5037883040651345,0.9399411694198948,0.25131574555143216,0.00129994529661468,187021.75633183648,2.8021705628984688e+56,138.57879948059121,1.4218046867694276,1.7553144281104044e-06
67,89932.8859065906,600,187367.26472723825,1726.7666942349415,1.5010146635216164,0.932968208647479,0.25087605627272197,0.001272288393199149,189094.0314214732,2.79726802744085e+56,138.3363490433755,1.437705658730318,1.7749452576917507e-06
68,91275.16778577851,600,189434.14582003842,1726.7666942349415,1.4982965633737257,0.9261572287392452,0.25044150566226026,0.0012456315174452601,191160.91251427337,2.792422788134202e+56,138.09673213525375,1.4535652414987779,1.794524989504664e-06
69,92617.44966496644,600,191495.730888785,1726.7666942349415,1.4956324990572363,0.9195018918551819,0.25001200826709186,0.0012199237243176392,193222.49758301995,2.7876338921780744e+56,137.85990163634537,1.4693841868391269,1.814054551653243e-06
70,93959.73154415436,600,193552.11790626083,1726.7666942349415,1.4930205402656933,0.9129962065493273,0.24958747930670264,0.0011951174042886903,195278.88460049577,2.7829003942697346e+56,137.62581079756248,1.485163246515685,1.8335348722415865e-06
