,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,total_mass,DM_fraction
0,0.0013481331249417527,280.7017543869298,189.85966164482272,880.882351146568,0.03835631720508959,12.660031701299738,3.6131233419463685e-08,2.507953291908434,2.5079533280396675,1.4406661007406199e-08
1,0.004872293049560001,280.7017543869298,266.05986946997166,880.882351146568,0.06561121689767364,12.660055260401942,2.0980470283257703e-07,2.5079540283592436,2.5079542381639466,8.365571414340215e-08
2,0.017608972824413295,280.7017543869298,477.6836644659973,880.882351146568,0.09990583959352187,12.660133436335485,1.0071625636226248e-06,2.5079547898115435,2.507955796974107,4.015870474422971e-07
3,0.06364065559622441,280.7017543869298,908.7329600787672,880.882351146568,0.13728308161151248,12.660364749927314,4.090482599547253e-06,2.5079566733066754,2.507960763789275,1.630999439308192e-06
4,0.23000393521546553,280.7017543869298,1728.323588451494,880.882351146568,0.1759022369344399,12.660995526899157,1.4506251717395007e-05,2.5079580455360975,2.507972551787815,5.784055215059745e-06
5,0.8312580962434107,280.7017543869298,3287.2358716022304,880.882351146568,0.21226730190106366,12.66251024523365,4.443608643188974e-05,2.5079453363489064,2.507989772435338,1.7717810064568518e-05
6,3.004253044292075,280.7017543869298,6252.587139260324,880.882351146568,0.2426678329144072,12.665832805313274,0.00011789827486026912,2.5078945710631775,2.5080124693380377,4.7008647804445355e-05
7,10.85768234309663,280.7017543869298,11894.679456201598,880.882351146568,0.26508100815270647,12.672602351553667,0.0002772019494535849,2.507752411908374,2.5080296138578277,0.00011052578802177517
8,39.240791013784886,280.7017543869298,22635.51344566093,880.882351146568,0.2796319982655428,12.685761965269084,0.0005959861187251702,2.5073949736023597,2.5079909597210848,0.00023763487520363715
9,141.82029191216657,280.7017543869298,43105.58098656526,880.882351146568,0.28768440130356365,12.710641122424738,0.0012044549004387073,2.5064869148262128,2.5076913697266514,0.0004803042810527349
10,512.5532558960558,280.7017543869298,82200.4771732021,880.882351146568,0.29065588156370814,12.75653701807798,0.002327672401866736,2.5039966300537255,2.5063243024555923,0.0009287195593906899
11,1852.4206697610819,280.7017543869298,157163.31558016172,880.882351146568,0.28920180249374117,12.83790537045423,0.004322458826504982,2.4964586039593124,2.5007810627858174,0.0017284435214372001
12,6694.840581510197,421.0526315798947,301979.05756647576,1248.3569109883795,0.28224670379872885,12.56526685874914,0.007609658174206888,2.484028605219558,2.4916382633937646,0.003054078228772288
13,24195.848785047605,421.0526315798947,585593.7369193068,1248.3569109883795,0.2700325959732391,12.844310392930618,0.012593725896990392,2.4711113213626756,2.483705047259666,0.005070540042943249
14,87446.30903471496,842.1052631587894,1154770.7912090318,2385.1187353248397,0.24933470417786063,12.583992029216416,0.01869143183573668,2.457004532625615,2.4756959644613517,0.0075499706361574406
15,316040.03776550404,1543.859649123614,2345207.3358804393,4332.826709411935,0.22080704487103625,12.693093785827983,0.024149740195044067,2.443673330789993,2.467823070985037,0.009785847485980688
16,1142201.5013940653,4491.228070175877,5000004.365416534,12741.033609636619,0.18727450450303368,12.648617742288968,0.026539776519563903,2.4371723799629255,2.4637121564824893,0.01077227161043662
