,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2
0,2277002.489251828,228.000000003,0.2225786952947522,1.3740786320076444e-06,0.024097286806918163,1.3653650153304596e-21
1,2277002.489251828,329.2631578976842,0.22257099885516715,0.12235016810350921,0.024093262464479164,1.8036596313854898e-06
2,2277002.489251828,430.52631579236845,0.2225528206381208,0.17039472260328606,0.024089076379570123,5.306804536746473e-06
3,2277002.489251828,531.7894736870526,0.22253098905661184,0.21372906452610635,0.024085619880003985,1.093248964373995e-05
4,2277002.489251828,633.0526315817368,0.2225241768448639,0.2682905647173974,0.02408297994487659,2.1519843230056877e-05
5,2277002.489251828,734.3157894764211,0.2225145818530829,0.34994145612225735,0.024080284674045105,4.577947522685273e-05
6,2277002.489251828,835.5789473711052,0.22250312652408533,0.48712854156596613,0.02407737994169407,0.00011616023696804303
7,2277002.489251828,936.8421052657894,0.22249143270405322,0.7661884640583086,0.02407450350897467,0.0004237314624150081
8,2277002.489251828,1038.1052631604737,0.22247924802441532,1.5767784730138934,0.02407146759324443,0.003503674380251048
9,2277002.489251828,1139.3684210551578,0.22246829538418836,4.0161863916219875,0.024068638785924062,0.057087932299365554
10,2277002.489251828,1240.6315789498422,0.2224569629780554,6.2280629474425,0.024065809148787445,0.21664036922215987
11,2277002.489251828,1341.8947368445265,0.2224463440791239,7.604996418522092,0.02406298166867207,0.40314285611173073
12,2277002.489251828,1443.1578947392104,0.22243528127728393,8.524766066725077,0.024060153400180997,0.5802971560500048
13,2277002.489251828,1544.4210526338948,0.222424242685465,9.176205851805005,0.024057325904493915,0.7390372222133701
14,2277002.489251828,1645.684210528579,0.22241312298168756,9.655912551409358,0.02405449843158153,0.8784145016945981
15,2277002.489251828,1746.9473684232632,0.22240232013717018,10.018838502415509,0.02405167198498275,0.999966353362716
16,2277002.489251828,1848.2105263179474,0.2223913282384504,10.298808886648668,0.024048845859755835,1.1058625045945711
17,2277002.489251828,1949.4736842126315,0.2223802715483429,10.51787932110154,0.02404602001205262,1.198263356119656
18,2277002.489251828,2050.7368421073156,0.22236937450952907,10.691073999480576,0.02404319505982045,1.279110506069022
19,2277002.489251828,2152.000000002,0.22235834800901547,10.82898544609508,0.02404037034823848,1.350078625180102
20,2277002.489251828,2253.2631578966843,0.2223486043380401,10.93929200121139,0.024037547878417793,1.4125863754434222
21,2277002.489251828,2354.5263157913682,0.22233645741284858,11.027689692789385,0.024034722878726204,1.4678272502121168
22,2277002.489251828,2455.7894736860526,0.22232541261553862,11.098486022167046,0.024031899676954082,1.5168029236808478
23,2277002.489251828,2557.052631580737,0.22231441684131906,11.154993889510411,0.024029077230896624,1.5603554611734518
24,2277002.489251828,2658.3157894754213,0.22230358960265814,11.199797844512675,0.024026256236060375,1.5991944241786964
25,2277002.489251828,2759.578947370105,0.22229251621895083,11.234939962895933,0.024023434202909213,1.6339199625565413
26,2277002.489251828,2860.842105264789,0.22228149031964525,11.262051514626148,0.02402061331610274,1.6650414885179834
27,2277002.489251828,2962.105263159474,0.22227057275048495,11.282448768797959,0.02401779330761151,1.69299337658452
28,2277002.489251828,3063.368421054158,0.22225960064493036,11.297203197663414,0.024014973741446156,1.7181475233443544
29,2277002.489251828,3164.631578948842,0.2222486581256889,11.307193967984821,0.02401215484866735,1.7408236442177771
30,2277002.489251828,3265.8947368435265,0.22223768902275884,11.313147698010564,0.024009336458431958,1.7612977370648208
31,2277002.489251828,3367.1578947382104,0.22222673892084063,11.3156810509337,0.024006518566646318,1.7798094163355758
32,2277002.489251828,3468.4210526328948,0.22221579815883669,11.315280530098988,0.024003701329324927,1.7965661606801466
33,2277002.489251828,3569.684210527579,0.22220476821644486,11.312378797161877,0.02400088427685517,1.8117498676147963
34,2277002.489251828,3670.947368422263,0.22219390794332464,11.307335840075153,0.02399806847957655,1.82551970402556
35,2277002.489251828,3772.210526316947,0.22218283485046036,11.300457552759255,0.023995252618480286,1.8380156383521877
36,2277002.489251828,3873.4736842116313,0.2221720176923574,11.292005181923937,0.0239924380168934,1.849361090044841
37,2277002.489251828,3974.736842106316,0.2221610313699795,11.282200004380742,0.023989623623082306,1.8596651762235317
38,2277002.489251828,4076.0000000010004,0.22215019071252343,11.271229973515798,0.02398681045401513,1.8690244469953394
39,2277002.489251828,4177.263157895684,0.22213923650711634,11.259266908587762,0.02398399724949452,1.8775253687628262
40,2277002.489251828,4278.526315790368,0.22212829640203216,11.246452935667211,0.02398118462680543,1.8852447333984372
41,2277002.489251828,4379.789473685052,0.2221172170441954,11.232911562246853,0.023978371811499002,1.8922512259970585
42,2277002.489251828,4481.052631579737,0.22210631913989867,11.218750407064388,0.02397556054055339,1.898606387486209
43,2277002.489251828,4582.315789474421,0.2220952951697813,11.20406346655414,0.0239727493357827,1.9043655431453232
44,2277002.489251828,4683.578947369106,0.222084413415557,11.188932543605931,0.02396993922923792,1.909578437243123
45,2277002.489251828,4784.84210526379,0.22207352263664154,11.173428101183701,0.023967129682185936,1.9142899672956724
46,2277002.489251828,4886.1052631584735,0.22206252217118833,11.157614986599574,0.023964320339355902,1.9185410015442985
47,2277002.489251828,4987.368421053158,0.22205167943912027,11.141546758019913,0.023961512027082164,1.9223680834215122
48,2277002.489251828,5088.631578947842,0.22204074174129074,11.125271969959048,0.023958704148208596,1.9258045984195027
49,2277002.489251828,5189.894736842526,0.22202978237342896,11.108833261611679,0.023955896739414513,1.9288808972632487
50,2277002.489251828,5291.157894737211,0.22201886587833913,11.092268069846412,0.02395308995149335,1.9316245973789048
51,2277002.489251828,5392.421052631895,0.22200790876320464,11.075609366648205,0.0239502836974102,1.934060887723335
52,2277002.489251828,5493.684210526579,0.22199702159025064,11.058886223062226,0.023947478286037605,1.9362127696530662
53,2277002.489251828,5594.9473684212635,0.22198607446630608,11.042124265491426,0.023944673199354595,1.9381012882554025
54,2277002.489251828,5696.210526315947,0.22197521420898003,11.025346653776,0.023941868671998514,1.9397458034659445
55,2277002.489251828,5797.473684210632,0.22196427813180655,11.00857173937862,0.023939064712579814,1.9411637361067484
56,2277002.489251828,5898.736842105316,0.2219533194518935,10.99181873277023,0.02393626139791536,1.9423715845046987
57,2277002.489251828,6000.0,0.2219424504015487,10.975102617066549,0.0239334587468675,1.9433841963200325
