,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,total_mass,radius
0,1195.7952543147258,0.12635169753586628,8386405.152756406,196.18563242118944,0.005756302121385091,0.23390978612191315,1.0464244550794283e-06,9.417750209017163e-06,1.0464174664096592e-05,0.23390978612191315
1,1373.6705833616725,0.1334311633395328,9114266.924707737,196.20079852318042,0.005681247407386811,0.23716339802005335,1.0907870902870935e-06,9.816244803468176e-06,1.0907031893755268e-05,0.23716339802005335
2,1577.868507068888,0.14090729050226847,9904760.52708337,196.21681465100534,0.005606978611635938,0.24047651673914244,1.136994405437842e-06,1.0233420364082663e-05,1.1370414769520505e-05,0.24047651673914244
3,1812.318951893667,0.1488023038978339,10763429.943904854,196.23372846271735,0.005533486145261227,0.24382281985499057,1.18513241143099e-06,1.0666606259998434e-05,1.1851738671429423e-05,0.24382281985499057
4,2081.4793512003234,0.15713967365618206,11696192.496304441,196.25159029023447,0.005460778690752087,0.24720743076961058,1.2352788464415854e-06,1.11170154146934e-05,1.2352294261134986e-05,0.24720743076961058
5,2390.4401466415948,0.16594418493496765,12709280.664405184,196.2704532895686,0.005388867445924978,0.2506455462206643,1.2875106070058687e-06,1.158734833613387e-05,1.2874858943139738e-05,0.2506455462206643
6,2745.0830402307474,0.1752420116003428,13809565.084830917,196.29037359951843,0.00531775154530246,0.2541320006212919,1.3419150672429948e-06,1.207765466499327e-05,1.3419569732236266e-05,0.2541320006212919
7,3152.16012037763,0.18506079403607678,15004583.713431716,196.3114105093074,0.0052474287692888325,0.25765982125681086,1.3985840960318473e-06,1.2587663121587783e-05,1.398624721761963e-05,0.25765982125681086
8,3619.3729879247257,0.19542972131230796,16302446.520654727,196.3336266356726,0.005177903996181638,0.2612371573255472,1.4576081768393519e-06,1.3119290097844658e-05,1.457689827468401e-05,0.2612371573255472
9,4155.636509600663,0.20637961795819854,17712047.08195211,196.35708810994169,0.005109169735275746,0.2648461319594942,1.5190903795608418e-06,1.3670578158313147e-05,1.5189668537873989e-05,0.2648461319594942
10,4771.026067329512,0.21794303559644645,19242747.7214084,196.3818647756642,0.005041236715224773,0.2685150470882978,1.583120886000344e-06,1.4246637293667656e-05,1.5829758179668e-05,0.2685150470882978
11,5477.199563756403,0.23015434971206658,20905084.50580761,196.40803039739805,0.0049741013044709735,0.2722406113629263,1.6498048177034103e-06,1.4847924095445827e-05,1.649772891314924e-05,0.2722406113629263
12,6287.555674319628,0.24304986184310967,22710303.303480316,196.4356628812841,0.004907757069043886,0.2760121606539189,1.7192544864249952e-06,1.5473629329300978e-05,1.7192883815725972e-05,0.2760121606539189
13,7217.392099322751,0.2566679074971121,24670517.048902243,196.4648445080807,0.004842202746498224,0.27983483501186285,1.7915810492794295e-06,1.612550842301288e-05,1.7917089472292312e-05,0.27983483501186285
14,8284.32756946022,0.2710489701140874,26799221.419916235,196.49566217936774,0.004777432242550477,0.2836998361470929,1.8669044234026847e-06,1.680296432524017e-05,1.8669868748642855e-05,0.2836998361470929
15,9508.460097889474,0.286235801414846,29110798.493171353,196.52820767766988,0.004713445150648178,0.28761752090396675,1.945342491487258e-06,1.7508754151373758e-05,1.9454096642861015e-05,0.28761752090396675
16,10912.894487137964,0.3022735484924131,31620833.1962428,196.56257794129465,0.004650236254493601,0.2915865115711874,2.0270219320525382e-06,1.82436660339056e-05,2.0270687965958138e-05,0.2915865115711874
17,12524.111583938065,0.3192098880243572,34346227.631905064,196.59887535472407,0.0045878010602847805,0.29560843883200355,2.1120727856247308e-06,1.9009072049307327e-05,2.112114483493206e-05,0.29560843883200355
18,14372.495786134095,0.33709516800501704,37305495.64765747,196.63720805545083,0.004526133172351535,0.2996802242967282,2.200632259944285e-06,1.980547738686996e-05,2.2006109646814247e-05,0.2996802242967282
19,16492.862549589336,0.3559825574189604,40518744.38316672,196.67769025819788,0.004465227158203882,0.3038002995410405,2.29284281393849e-06,2.063366123197757e-05,2.292650404591606e-05,0.3038002995410405
20,18924.880393711646,0.3759282043006247,44007237.64573898,196.72044259751937,0.004405082893179496,0.30799527258921305,2.38884124332899e-06,2.1500299862984033e-05,2.3889141106313023e-05,0.30799527258921305
21,21714.54792079312,0.39699140265001387,47794917.338161334,196.7655924898354,0.004345687358100282,0.3122362138288357,2.488789287788307e-06,2.2400765566931107e-05,2.4889554854719413e-05,0.3122362138288357
22,24914.40481877289,0.41923476870065635,51907540.584970936,196.81327451601794,0.004287032696942558,0.3165145568993769,2.5928480843369263e-06,2.3334301574239194e-05,2.592714965857612e-05,0.3165145568993769
23,28583.95386676275,0.44272442706382786,56372048.89853193,196.86363082570836,0.00422912190576448,0.32087983450315327,2.7011643250772364e-06,2.4313178234423943e-05,2.701434255950118e-05,0.32087983450315327
24,32792.82597648926,0.46753020730240785,61219415.35936436,196.91681156461846,0.004171936422345654,0.32526978750051566,2.813929422404366e-06,2.5324820196746282e-05,2.813874961915065e-05,0.32526978750051566
25,37619.514175716904,0.4937258515187344,66481958.16237514,196.97297532613953,0.004115476210786263,0.3297227102346235,2.931304918629676e-06,2.637925523129666e-05,2.9310560149926337e-05,0.3297227102346235
26,43154.116644164606,0.5213892335735799,72194814.96491766,197.0322896286631,0.004059736970904332,0.3342574904510255,3.0534666543855533e-06,2.7482748843062573e-05,3.053621549744813e-05,0.3342574904510255
27,49501.079749422206,0.5506025905879264,78396894.99908777,197.0949314200995,0.004004702862417665,0.3388238517233245,3.18062135192536e-06,2.8624601197781834e-05,3.18052225497072e-05,0.3388238517233245
