total_mass,DM_fraction
2.503976636941976,0.0
0.0031314050066575663,0.02
0.0014041085488360385,0.0446153846153846
0.0009047115018049317,0.0692307692307692
0.0006675329285063921,0.0938461538461538
0.0005287836988089071,0.118461538461538
0.0004378009059629969,0.143076923076923
0.000373544863537184,0.167692307692308
0.0003257295494211336,0.192307692307692
0.00028876934130536095,0.216923076923077
0.00025935300467671483,0.241538461538461
0.00023535856692801616,0.266153846153846
0.00021543578758260486,0.290769230769231
0.00019861778441714002,0.315384615384615
0.0001842362361388763,0.34
0.00017180391807948176,0.364615384615385
0.00016093986321720401,0.389230769230769
0.0001513671942129032,0.413846153846154
0.00014286734445915936,0.438461538461538
0.00013527342341963208,0.463076923076923
0.00012844329670029048,0.487692307692308
0.0001222756172023902,0.512307692307692
0.00011666635381442059,0.536923076923077
0.00011155327591797855,0.561538461538461
0.00010686854428410071,0.586153846153846
0.00010256140016133992,0.610769230769231
9.858882906231987e-05,0.635384615384615
9.491354257037614e-05,0.66
9.149981678035254e-05,0.684615384615384
8.83232397843812e-05,0.709230769230769
8.536260079063793e-05,0.733846153846154
8.259223104898177e-05,0.758461538461538
7.999426397568722e-05,0.783076923076923
7.7556912404129e-05,0.807692307692308
7.526432872157137e-05,0.832307692307692
7.310200043070076e-05,0.856923076923077
7.105991472691484e-05,0.881538461538461
6.913082595932167e-05,0.906153846153846
6.730261476941329e-05,0.930769230769231
6.556778941659679e-05,0.955384615384615
6.392243651129716e-05,0.98
6.265402038992666e-05,1.0
