,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2
0,29000000000.0,5.0,302245910783.6497,206.68384855400373,0.0008087455183639833,0.00015396227998344255,6.265414117220636e-05,2.7424244244929664e-15
1,29000000000.0,32.68518518518519,302245910783.6497,268.1730593360372,0.0008087404768955325,0.00040824515217848575,6.265410067322553e-05,5.5733161519883714e-14
2,29000000000.0,60.370370370370374,302245910783.6497,332.0662931564548,0.0008087382499022031,0.0006090918671965711,6.265401470194481e-05,1.9271956269365284e-13
3,29000000000.0,88.05555555555556,302245910783.6497,397.7034327213314,0.0008087373484166648,0.0008937854632981577,6.265399067851795e-05,6.034328941423132e-13
4,29000000000.0,115.74074074074075,302245910783.6497,464.68047510699887,0.0008087368643586679,0.001542450273036676,6.265396999698223e-05,2.9405754360989077e-12
5,29000000000.0,143.42592592592592,302245910783.6497,532.7288389391213,0.000808737244091848,0.004781193799537411,6.26539883902607e-05,8.235833186587991e-11
6,29000000000.0,171.11111111111111,302245910783.6497,601.6592306077616,0.0008087371895882316,5.585407912839758,6.265398676146598e-05,0.13029673785568613
7,29000000000.0,198.7962962962963,302245910783.6497,671.3322955042511,0.0008087371497625066,8.677141836287817,6.265398554928702e-05,0.5033849934669822
8,29000000000.0,226.4814814814815,302245910783.6497,741.6419150639284,0.0008087371190538601,10.211605981434424,6.265398458429532e-05,0.8433386847458554
9,29000000000.0,254.16666666666669,302245910783.6497,812.505066204939,0.0008087370945744953,11.142375495604488,6.265398378837864e-05,1.1238006730373855
10,29000000000.0,281.85185185185185,302245910783.6497,883.8553426622677,0.0008087370746041858,11.755834068415385,6.265398311752523e-05,1.3513136391725575
11,29000000000.0,309.53703703703707,302245910783.6497,955.6386410432035,0.0008087370580212861,12.179594983465677,6.265398254314816e-05,1.5361585825162576
12,29000000000.0,337.22222222222223,302245910783.6497,1027.8101881885214,0.0008087370440514513,12.480983079533024,6.265398204517701e-05,1.6873662126260116
13,29000000000.0,364.90740740740745,302245910783.6497,1100.3324328158128,0.0008087370321387476,12.699242188924705,6.265398160875715e-05,1.8120677046428637
14,29000000000.0,392.5925925925926,302245910783.6497,1173.1735128246987,0.0008087370218724902,12.858854676158634,6.265398122256514e-05,1.9157408484109613
15,29000000000.0,420.2777777777778,302245910783.6497,1246.3061170735868,0.0008087370129426486,12.975873800333973,6.265398087782063e-05,2.002575763558514
16,29000000000.0,447.962962962963,302245910783.6497,1319.706624211441,0.0008087370051108641,13.061244004161983,6.265398056761667e-05,2.0757971137926443
17,29000000000.0,475.64814814814815,302245910783.6497,1393.3544403443952,0.0008087369981908868,13.122660045867876,6.265398028644724e-05,2.137909160547557
18,29000000000.0,503.33333333333337,302245910783.6497,1467.2314821489751,0.0008087369920351972,13.165667863263003,6.265398002987534e-05,2.1908675314553547
19,29000000000.0,531.0185185185186,302245910783.6497,1541.3217682008753,0.0008087369865255559,13.194354585181928,6.265397979429055e-05,2.236225395531798
20,29000000000.0,558.7037037037037,302245910783.6497,1615.611092053094,0.0008087369815661634,13.211783989564847,6.265397957672897e-05,2.2752216693405227
21,29000000000.0,586.3888888888889,302245910783.6497,1690.0867579228875,0.0008087369770786523,13.220289803196437,6.265397937473829e-05,2.3088553844146675
22,29000000000.0,614.0740740740741,302245910783.6497,1764.7373649281296,0.0008087369729983508,13.221675420696268,6.265397918627335e-05,2.3379384407890487
23,29000000000.0,641.7592592592594,302245910783.6497,1839.552629399191,0.0008087369692714642,13.217347181251856,6.265397900961812e-05,2.3631371478526697
24,29000000000.0,669.4444444444445,302245910783.6497,1914.5232373625522,0.0008087369658529182,13.208418895195319,6.265397884332233e-05,2.385003632405597
25,29000000000.0,697.1296296296297,302245910783.6497,1989.6407211611424,0.0008087369627046946,13.195774386496971,6.265397868615352e-05,2.403994738006037
26,29000000000.0,724.8148148148149,302245910783.6497,2064.89735555315,0.0008087369597945239,13.180121972477124,6.265397853705902e-05,2.420493918385741
27,29000000000.0,752.5,302245910783.6497,2140.2860696576663,0.000808736957094861,13.162041346970494,6.265397839513436e-05,2.434825460782126
28,29000000000.0,780.1851851851852,302245910783.6497,2215.8003718895907,0.0008087369545820674,13.141997351006188,6.265397825959919e-05,2.4472623079856195
29,29000000000.0,807.8703703703704,302245910783.6497,2291.4342856159365,0.0008087369522357555,13.120379048007855,6.265397812977677e-05,2.4580388349521978
30,29000000000.0,835.5555555555557,302245910783.6497,2367.182293719301,0.0008087369500382621,13.097489053227434,6.265397800507822e-05,2.467353438585816
31,29000000000.0,863.2407407407408,302245910783.6497,2443.039290606274,0.0008087369479742151,13.073601808352157,6.265397788498864e-05,2.4753781588792916
32,29000000000.0,890.925925925926,302245910783.6497,2519.0005404740614,0.0008087369460301847,13.048921076746689,6.265397776905637e-05,2.4822610560150498
33,29000000000.0,918.6111111111112,302245910783.6497,2595.0616408658757,0.0008087369441943904,13.02363412000947,6.265397765688382e-05,2.4881317499477245
34,29000000000.0,946.2962962962963,302245910783.6497,2671.2184907182836,0.0008087369424564643,12.997891880294892,6.265397754811964e-05,2.493100849713901
35,29000000000.0,973.9814814814815,302245910783.6497,2747.467262241817,0.0008087369408072479,12.971819098961191,6.265397744245266e-05,2.4972674575638862
36,29000000000.0,1001.6666666666667,302245910783.6497,2823.804376087315,0.0008087369392386271,12.945513029063825,6.265397733960608e-05,2.50071531432025
37,29000000000.0,1029.351851851852,302245910783.6497,2900.2264793406102,0.0008087369377433908,12.919069389734215,6.265397723933328e-05,2.503521139825437
38,29000000000.0,1057.0370370370372,302245910783.6497,2976.7304259615184,0.0008087369363151107,12.892563707406174,6.265397714141409e-05,2.5057503524822717
39,29000000000.0,1084.7222222222224,302245910783.6497,3053.3132593432724,0.0008087369349480441,12.866066628594385,6.265397704565079e-05,2.507465137378182
40,29000000000.0,1112.4074074074074,302245910783.6497,3129.9721967180426,0.0008087369336370417,12.839609860228562,6.265397695186611e-05,2.508712451710022
41,29000000000.0,1140.0925925925926,302245910783.6497,3206.7046151751924,0.0008087369323774827,12.813250262124502,6.265397685990025e-05,2.5095414211262437
42,29000000000.0,1167.7777777777778,302245910783.6497,3283.508039092977,0.0008087369311652035,12.787023320202165,6.26539767696092e-05,2.5099924535671043
43,29000000000.0,1195.462962962963,302245910783.6497,3360.3801288128843,0.0008087369299964485,12.760957737171635,6.26539766808625e-05,2.5101019931920385
44,29000000000.0,1223.1481481481483,302245910783.6497,3437.3186704096647,0.0008087369288678211,12.735084250781265,6.265397659354197e-05,2.509904396106501
45,29000000000.0,1250.8333333333335,302245910783.6497,3514.3215664302147,0.000808736927776244,12.709423290694662,6.265397650754087e-05,2.509428933840665
46,29000000000.0,1278.5185185185187,302245910783.6497,3591.386827491475,0.0008087369267189235,12.683985733977957,6.265397642276123e-05,2.508700344189591
47,29000000000.0,1306.2037037037037,302245910783.6497,3668.5125646419137,0.0008087369256933178,12.65878966495408,6.265397633911426e-05,2.507743411127563
48,29000000000.0,1333.888888888889,302245910783.6497,3745.6969824034686,0.0008087369246971119,12.633851971433362,6.265397625651905e-05,2.5065808893203143
49,29000000000.0,1361.5740740740741,302245910783.6497,3822.9383724212703,0.0008087369237281918,12.609180500863202,6.265397617490131e-05,2.505231181498736
50,29000000000.0,1389.2592592592594,302245910783.6497,3900.2351076575223,0.0008087369227846249,12.584777151735357,6.265397609419313e-05,2.5037112677667412
51,29000000000.0,1416.9444444444446,302245910783.6497,3977.5856370735837,0.0008087369218646426,12.560649166785174,6.265397601433245e-05,2.502037224218155
52,29000000000.0,1444.6296296296298,302245910783.6497,4054.9884807510202,0.0008087369209666218,12.53680642659899,6.265397593526187e-05,2.5002249767152795
53,29000000000.0,1472.314814814815,302245910783.6497,4132.4422254081155,0.0008087369200890731,12.513249532597673,6.265397585692864e-05,2.4982869419129083
54,29000000000.0,1500.0,302245910783.6497,4209.94552027337,0.0008087369192306241,12.489976497273096,6.265397577928475e-05,2.4962339886098337
