,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,total_mass,radius
0,1229.2260045470812,0.12350519017579378,8526333.061186953,196.17953451451115,0.0057413202959028685,0.14956461223294695,1.055099634054639e-06,2.461975754479423e-06,3.5170753885340617e-06,0.14956461223294695
1,1385.315298334126,0.12954921147221474,9160557.168302815,196.1924823170078,0.0056767026509254494,0.15135595336532004,1.093547190991859e-06,2.551502356097015e-06,3.645049547088874e-06,0.15135595336532004
2,1561.2058826434122,0.13588901137825996,9841849.24837148,196.20606394703412,0.0056126416697609045,0.153175348208902,1.1333867728767258e-06,2.6446262867598723e-06,3.778013059636598e-06,0.153175348208902
3,1759.4231967922951,0.142539064526235,10573779.955005711,196.22031044207307,0.005549137453227003,0.15501295882627092,1.1746714698139814e-06,2.740955197010475e-06,3.915626666824456e-06,0.15501295882627092
4,1982.7959965696664,0.14951455389912888,11360164.974548893,196.2352543604642,0.00548619586770187,0.1568704497780143,1.2174530395658424e-06,2.8406752466019422e-06,4.058128286167785e-06,0.1568704497780143
5,2234.5091049266557,0.1568314054954459,12204957.54844049,196.25092985602726,0.005423822328282177,0.158752320230465,1.2617835890711366e-06,2.9441413340084616e-06,4.205924923079598e-06,0.158752320230465
6,2518.1627565036706,0.16450632469044416,13112605.301655803,196.26737275635654,0.0053620186587171785,0.16065632749017392,1.3077190696945914e-06,3.051351015677427e-06,4.359070085372019e-06,0.16065632749017392
7,2837.805566812085,0.17255683437679625,14087694.565396713,196.2846206449684,0.005300787435277263,0.1625829917834426,1.355316999282893e-06,3.162454303225787e-06,4.51777130250868e-06,0.1625829917834426
8,3198.000470597617,0.18100131497175612,15135171.371147398,196.30271294749284,0.00524013044373087,0.16453281303757128,1.4046367644072405e-06,3.277606118525984e-06,4.682242882933225e-06,0.16453281303757128
9,3603.890660203706,0.18985904638217183,16260556.030861031,196.32169102210867,0.005180048945185675,0.16650445564264946,1.4557407166948779e-06,3.3968552852077686e-06,4.852596001902647e-06,0.16650445564264946
10,4061.2655239348896,0.1991502520231547,17469497.278296992,196.34159825443365,0.005120544263671675,0.16849906569599507,1.5086924289896302e-06,3.5204018244964685e-06,5.029094253486099e-06,0.16849906569599507
11,4576.6529597655335,0.20889614499091,18768269.091060773,196.36248015708918,0.005061616997273574,0.17051710159983555,1.5635575584739034e-06,3.6484118590311022e-06,5.211969417505006e-06,0.17051710159983555
12,5157.411689048558,0.21911897649514225,20163658.989446107,196.38438447417238,0.005003267024081877,0.1725566650476754,1.620405036465142e-06,3.7809030564326836e-06,5.401308092897826e-06,0.1725566650476754
13,5811.810382551494,0.229842086661618,21662599.793865614,196.4073612908785,0.00494549541529132,0.17462405964555974,1.6793031892889528e-06,3.918436992048846e-06,5.597740181337799e-06,0.17462405964555974
14,6549.199100201258,0.24108995782087334,23272925.765334565,196.43146314853044,0.004888299608256773,0.1767138803353401,1.7403267291678173e-06,4.060812376388708e-06,5.801139105556525e-06,0.1767138803353401
15,7380.075229447539,0.25288827040472905,25002865.016303204,196.45674516528285,0.004831679712322475,0.17882945635679987,1.8035507178858061e-06,4.208413623077737e-06,6.011964340963542e-06,0.17882945635679987
16,8316.307675698272,0.26526396157823906,26861278.46399132,196.483265162784,0.004775633189022819,0.18096678160790286,1.8690539498567522e-06,4.361121232531672e-06,6.230175182388424e-06,0.18096678160790286
