,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2
1,409091.5300412837,600,0.27845003838824756,10.985125681316326,0.009774184545757139,1.4171331110342247
2,585651.3560627982,600,0.27062259005165284,10.411936891118188,0.012657664232400336,1.14291924146748
3,723947.8204218715,600,0.2649993059214397,9.72656470932495,0.014527656250501805,0.8959940247818003
4,842434.5507626821,600,0.2605099511841053,8.908679530520576,0.015909607972285626,0.6673060206303549
5,948267.6692694464,600,0.25673624430864905,7.923340178983829,0.01699877611432784,0.4574746497841765
6,1045111.4156819019,600,0.2534622772055333,6.712513286975881,0.017891308437178795,0.2721993172161307
7,1135142.366352818,600,0.25056113420736414,5.181022203416128,0.018642432852776673,0.12302414579624646
8,1219776.0095105157,600,0.24795274712808704,3.2668180957718698,0.019287017961562493,0.030557763099211505
9,1300001.007679117,600,0.24557425150009263,1.6799676550926004,0.019848054754268395,0.004192963676598446
10,1300001.007679117,600,0.24557425150009263,1.6799676550926004,0.019848054754268395,0.004192963676598446
11,1735612.8110970368,600,0.2341089087216702,0.40104722852558883,0.022222943007818536,6.51288299047244e-05
12,2102203.2438849206,600,0.2259970168759255,0.2776658443309183,0.023581431413969286,2.340620599632832e-05
13,2428776.9506890485,600,0.21969583446771196,0.2294163236360638,0.024459863968343494,1.3781788583488449e-05
14,2728338.820320502,600,0.21453791302941358,0.20281660187528863,0.02506615403406849,9.74556449575461e-06
15,3008100.6005970775,600,0.2101780311937938,0.1851794920787584,0.02550179748717289,7.520202431135427e-06
16,3272553.866395472,600,0.2064059120607634,0.1721533804437152,0.025822877567138455,6.098168883552733e-06
17,3524693.255093273,600,0.20308173837478388,0.16193331913003528,0.026062951864821448,5.109298428849441e-06
18,3766640.013129228,600,0.2001172133906584,0.153594210156978,0.0262442510457274,4.382123830013121e-06
19,4000011.8565886705,600,0.19744298167731225,0.14659742178559063,0.026381263702229207,3.825433969235045e-06
20,4500010.300783886,600,0.19224236348289966,0.13416710296721557,0.026576260640183657,2.9517805864142973e-06
21,5645377.646533942,600,0.1824691853975536,0.11397942878349009,0.026692937097035553,1.8262838753605288e-06
22,6686410.32344366,600,0.17545905612810977,0.10138207207262416,0.02658089845673572,1.291243156046614e-06
23,7658576.304906392,600,0.1700519133181822,0.09248391825674321,0.026383916718679006,9.830418348339536e-07
24,8580921.305647686,600,0.1656909783069531,0.08573592888576985,0.02615589319020627,7.846948421662247e-07
25,9465070.41497286,600,0.16207356853430377,0.0803740624352896,0.02591874231202993,6.473882765191248e-07
26,10318744.129635727,600,0.15897295152130606,0.07597123577798386,0.02568301293469243,5.472929660507171e-07
27,11147288.653813245,600,0.15629891015925865,0.0722662219817637,0.02545359981295941,4.7144603560143523e-07
28,11954802.709812148,600,0.15394834176018699,0.06908821339997377,0.02523218451379972,4.1221325073709516e-07
29,12744195.936716389,600,0.15186281649131914,0.06632079454783305,0.025020321266935524,3.648297217797196e-07
30,13517930.863077091,600,0.14999428071871695,0.06388058988985677,0.024817720589983962,3.261674015510266e-07
31,14277763.926605245,600,0.1483043756762726,0.06170669414979093,0.02462403829528984,2.940982333060874e-07
32,15025328.235384516,600,0.14676883158073056,0.05975285792935523,0.02443940420137433,2.6712244430091126e-07
33,15761883.385849351,600,0.14536332877057945,0.057983687721483185,0.02426283228930846,2.441581243915462e-07
34,16488440.9864888,600,0.14407334710455533,0.05637122937735804,0.024094265629883097,2.2440374237612463e-07
35,17205998.778814685,600,0.14287989938517578,0.05489317631391835,0.02393307333003424,2.0725454808139572e-07
36,17915348.11846493,600,0.14177536979602706,0.053531525553658386,0.023778620078848973,1.9224653560471863e-07
37,18617079.369936857,600,0.14074529276028014,0.05227147812644358,0.023630640328745012,1.7901758756372825e-07
38,19311774.569865964,600,0.13978734495237835,0.051100758916526164,0.023488846476059682,1.6728136694529034e-07
39,20000006.01419952,600,0.13888892201842845,0.05000910271050009,0.023352576669432162,1.5680879064649222e-07
