,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2
0,20000000.0,1e-06,2918590802.898937,195.91499766207392,0.002160004800392403,1.5099088680763837e-06,1.799488225958663e-05,1.7971808902490025e-21
1,20000000.0,6.201343275167785,2918590802.898937,209.28875252425547,0.00215999661348076,0.9799123508724374,1.7994813810949986e-05,0.0006927184510213267
2,20000000.0,12.402685550335569,2918590802.898937,222.83599380004637,0.002159989364446713,6.713527956031016,1.7994812569623645e-05,0.22815927906262612
3,20000000.0,18.604027825503355,2918590802.898937,236.5405241890578,0.0021599952812703,8.743263665295194,1.799481063606394e-05,0.5154599143083988
4,20000000.0,24.80537010067114,2918590802.898937,250.38852012020845,0.0021599931691351822,9.970838332481874,1.799481164427191e-05,0.780955855799378
5,20000000.0,31.006712375838926,2918590802.898937,264.3680715230572,0.0021599902039581183,10.798911805810876,1.7994807943915297e-05,1.0123474666490873
6,20000000.0,37.208054651006705,2918590802.898937,278.4688303404112,0.0021599903000723447,11.389531264702862,1.799480653443028e-05,1.2106196607758708
7,20000000.0,43.409396926174495,2918590802.898937,292.6817379369595,0.002159990441121533,11.825386272365028,1.7994805400514738e-05,1.3798253962171247
8,20000000.0,49.61073920134228,2918590802.898937,306.9988107818406,0.0021599908861337797,12.154530098246036,1.7994804431702434e-05,1.5243876385803337
9,20000000.0,55.81208147651006,2918590802.898937,321.4129698659148,0.0021599925465500486,12.40701127501648,1.7994805370686855e-05,1.6482888239962536
10,20000000.0,62.01342375167785,2918590802.898937,335.917903416493,0.002159992043976259,12.602749226140599,1.7994804459758676e-05,1.754907728211672
11,20000000.0,68.21476602684564,2918590802.898937,350.5079552941796,0.0021599915229734068,12.755562223395476,1.7994803598061237e-05,1.8470516368467609
12,20000000.0,74.41610830201341,2918590802.898937,365.1780334330534,0.0021599996419374135,12.875023112831792,1.799480326873861e-05,1.9269886515360795
13,20000000.0,80.6174505771812,2918590802.898937,379.9235340926524,0.002159999241272327,12.968536010100308,1.7994802351542595e-05,1.9966318425727483
14,20000000.0,86.81879285234899,2918590802.898937,394.7402787071595,0.002159998725834491,13.04130640678048,1.799480155616564e-05,2.05751607830947
15,20000000.0,93.02013512751677,2918590802.898937,409.6244608621414,0.0021599980637052375,13.097522853968394,1.799480084590678e-05,2.1109264682296955
16,20000000.0,99.22147740268456,2918590802.898937,424.57260148177465,0.0021599985619681294,13.140159302555825,1.799480024561597e-05,2.1579033495019306
