max_mass,chi
2.01,0.0
1.331393702349199,0.02
0.597219978376904,0.04461538
0.3850516567783902,0.06923076
0.284089029706765,0.09384614
0.2249390347140038,0.11846152
0.1862701669034651,0.1430769
0.1589479695076603,0.16769228
0.138628495778628,0.19230766
0.1229006400522119,0.21692304
0.1103874163317448,0.24153842
0.1001776391543789,0.2661538
0.0917029833288524,0.29076918
0.0845457991835243,0.31538456
0.0784291742273446,0.33999994
0.0731324669027266,0.36461532
0.0685094404968131,0.3892307
0.0644349462957198,0.41384608
0.0608173630685586,0.43846146
0.0575851280424205,0.46307684
0.0546801251460414,0.48769222
0.0520528778046976,0.5123076
0.0496669283731769,0.53692298
0.0474901318069056,0.56153836
0.0454957382603478,0.58615374
0.0436618456048321,0.61076912
0.0419708516240745,0.6353845
0.0404049840682439,0.65999988
0.038952052523781,0.68461526
0.0375999229336529,0.70923064
0.0363391142351611,0.73384602
0.0351594128389741,0.7584614
0.0340534438646375,0.78307678
0.0330152229650193,0.80769216
0.0320379635163578,0.83230754
0.0311171835627994,0.85692292
0.0302333864468935,0.8815383
0.029415713192252,0.90615368
0.0286425762215713,0.93076906
0.0279101816052365,0.95538444
0.0272165485816201,0.97999982
0.0267,1.0
