max_mass,chi
2.503976636941976,0.0
1.332856590671612,0.02
0.5978489181813923,0.04461538
0.3851853461762525,0.06923076
0.2842476031229707,0.09384614
0.2252095922561112,0.11846152
0.1864665080470529,0.1430769
0.1590967713835226,0.16769228
0.1387236988438164,0.19230766
0.1229881998634861,0.21692304
0.1104491335173968,0.24153842
0.1002345410786457,0.2661538
0.0917488531576579,0.29076918
0.0845868478395651,0.31538456
0.0784584314074319,0.33999994
0.0731604679163195,0.36461532
0.0685333293913034,0.3892307
0.0644039601844034,0.41384608
0.0607920575456398,0.43846146
0.0575625283109587,0.46307684
0.0546599409149528,0.48769222
0.052036833490463,0.5123076
0.0496530485647422,0.53692298
0.0474778476420326,0.56153836
0.0454867791525195,0.58615374
0.0436548432991442,0.61076912
0.0419655095844918,0.6353845
0.0404019360029714,0.65999988
0.0389501169134371,0.68461526
0.0376005602873412,0.70923064
0.0363403380532971,0.73384602
0.035162460635797,0.7584614
0.0340585517016171,0.78307678
0.0330224516355106,0.80769216
0.0320469711215447,0.83230754
0.0311279851174748,0.85692292
0.0302607392047302,0.8815383
0.0294403902116555,0.90615368
0.0286637485422017,0.93076906
0.0279271475007959,0.95538444
0.0272259321059808,0.97999982
0.0267,1.0
