,central_pressure,central_density,radius,total_mass
0,1.3032380000000001,139909.12539123528,0.009401135661329975,1.3157882149913746e-07
1,1.6061321705534644,158601.0889926565,0.009356220108802053,1.4092566970129893e-07
2,1.9794239803372693,179786.05205567024,0.009299466723681834,1.5075602048837156e-07
3,2.43947501069236,203805.1817928578,0.009232211820747335,1.611172791189992e-07
4,3.0064495463869645,231032.5118311431,0.009155590305003302,1.7205639823386088e-07
5,3.705198387092744,261895.45657992718,0.009070688233862437,1.83623687187898e-07
6,4.566348071336519,296880.8766278075,0.008978487496485719,1.9587050825364482e-07
7,5.62764325420096,336540.25411573314,0.008879877823437835,2.0885094686397875e-07
8,6.935601075912753,381500.04190258426,0.008775690261009796,2.226206641664964e-07
9,8.547550033185567,432463.282066272,0.008666646795055452,2.3723771712100935e-07
10,10.534142718148697,490237.9755972653,0.008553420754717399,2.5276343603086516e-07
11,12.982452559563287,555729.8160559403,0.00843668955907791,2.692633541989504e-07
12,15.99979029816408,629972.698113579,0.008316920017475407,2.868037130464881e-07
13,19.71840747429912,714131.6560562019,0.008194703575864272,3.0545579720327953e-07
14,24.3012930842668,809535.1162392311,0.008070484776484775,3.2529529770248124e-07
15,29.949317475924833,917683.2503949677,0.007944745127376831,3.4640471654252925e-07
16,36.91003660436693,1040282.4308974572,0.007817781167893249,3.688621584428335e-07
17,45.48854254294279,1179252.8592467732,0.007689950696992027,3.927600577356059e-07
18,56.06083583337088,1336800.9016617455,0.0075616577507555925,4.1819512849209574e-07
19,69.09030579226004,1515386.8901034833,0.007433200684890652,4.4526959388474176e-07
20,85.14804111476586,1717843.6183776048,0.007304766060505308,4.7408271654424056e-07
21,104.93786100008938,1947341.4793667211,0.007176530054117342,5.047537428449897e-07
22,129.32716392655163,2207512.0093584238,0.007048841785336512,5.374028670598257e-07
23,159.38494619469117,2502439.9034881494,0.006921801039169718,5.72151465766961e-07
24,196.42865661162915,2836771.601791235,0.006795496062669118,6.091425750093371e-07
25,242.08194098279597,3215776.3201831058,0.006670302904768978,6.485226077846648e-07
26,298.34580738322063,3645422.1647402053,0.006546152541146148,6.904399935493104e-07
27,367.68633142061384,4132470.942648497,0.006423254916357392,7.350609537585622e-07
28,453.1427456592222,4684598.409586535,0.006301657402537247,7.825565743081261e-07
29,558.4606508221852,5310509.630813892,0.006181512224868194,8.331195916731768e-07
30,688.2561874912614,6020063.220983852,0.0060628046768538375,8.869363266960465e-07
31,848.2183640380281,6824431.141067334,0.005945632014927289,9.442210545997873e-07
32,1045.358408928919,7736288.789107393,0.005830048445678984,1.00519343302055e-06
33,1288.3170766501034,8770023.63822743,0.005716120140943851,1.070097065790251e-06
