,central_pressure,radius,total_mass
0,"0,000000001",1.0062580521597052e-06,5.558055094761058e-16
1,1.194064149822067e-09,1.0074817319095336e-06,5.558055122158538e-16
2,1.42578919389029e-09,1.0089467888335436e-06,5.558055155047887e-16
3,1.7024837616280994e-09,1.0107017516910792e-06,5.558055194571218e-16
4,2.032874825414323e-09,1.0128053038735662e-06,5.55805524212613e-16
5,2.4273829501030366e-09,1.0153285785979777e-06,5.558055299430641e-16
6,2.8984509586073515e-09,1.0183580490801459e-06,5.558055368607997e-16
7,3.4609363796904424e-09,1.0219991970040751e-06,5.558055452298795e-16
8,4.132580055803314e-09,1.0263812151280642e-06,5.55805555381136e-16
9,4.934565690904414e-09,1.0316631028341625e-06,5.558055677326458e-16
10,5.89218798645092e-09,1.0380416666330491e-06,5.558055828180774e-16
11,7.035650438633286e-09,1.0457621693200144e-06,5.558056013266701e-16
12,8.401017959451908e-09,1.0551327289671594e-06,5.558056241607752e-16
13,1.0031354367392818e-08,1.066544132719605e-06,5.55805652520537e-16
14,1.197808062426476e-08,1.0804976415747778e-06,5.55805688031654e-16
15,1.4302596657112847e-08,1.0976448761249319e-06,5.558057329435469e-16
16,1.7078217917623388e-08,1.118846463136819e-06,5.558057904465069e-16
17,2.039248775828288e-08,1.1452607257693876e-06,5.558058651977281e-16
18,2.434993855785096e-08,1.1784821777027371e-06,5.558059642304986e-16
19,2.9075388682299814e-08,1.220766000042291e-06,5.558060986033317e-16
20,3.4717879267676405e-08,1.275408172184079e-06,5.558062865676567e-16
21,4.1455374991383114e-08,1.347423883011465e-06,5.558065600891548e-16
22,4.9500377094640756e-08,1.444838640112267e-06,5.558069794744046e-16
23,5.910662569138382e-08,1.5813523728542967e-06,5.558076699516083e-16
24,7.057710275503321e-08,1.7824470449390079e-06,5.558089272866165e-16
25,8.427358819809323e-08,2.1015559090664798e-06,5.55811590075685e-16
26,1.0062807044421098e-07,2.672952653175317e-06,5.558188130932291e-16
27,1.2015637138320184e-07,3.957862331010346e-06,5.558503819877998e-16
28,1.4347441544138689e-07,9.287217680518817e-06,5.563942075561931e-16
29,1.7131765589523766e-07,0.0003220736227427349,2.5139849347304785e-14
30,2.0456427113605597e-07,0.000643251970033697,1.9640925869266682e-13
31,2.44262862498045e-07,0.0008866422408684243,5.134562943194619e-13
32,2.91665527241832e-07,0.0011095878535251067,1.0058031664722255e-12
33,3.482673498184223e-07,0.001327700774171044,1.7227752391266621e-12
34,4.15853556971718e-07,0.0015484394258319224,2.7324918124790374e-12
35,4.965558239559159e-07,0.0017764611134524642,4.125850481070187e-12
36,5.929195077711168e-07,0.0020152274908091677,6.022824072046239e-12
37,7.079839279596342e-07,0.0022676415054198994,8.581025330698799e-12
38,8.453782270268082e-07,0.002536351169926533,1.200704437418416e-11
39,1.0094358339328479e-06,0.002823914516645868,1.6571318553329093e-11
40,1.2053311408449554e-06,0.0031329005033415894,2.2627591885336915e-11
41,1.4392427039470908e-06,0.0034659545331416244,3.063827604161306e-11
42,1.7185481156761924e-06,0.0038258514731387195,4.1207668033721734e-11
43,2.052056694673204e-06,0.004215534655679095,5.5125207115895016e-11
44,2.4502873325116353e-06,0.004638151955053161,7.342197634697149e-11
45,2.9258002605152803e-06,0.005097089071308006,9.74444280934194e-11
46,3.493593200621353e-06,0.005596003231574787,1.2895067148198665e-10
47,4.17157439492409e-06,0.006138852032649609,1.702357553254301e-10
48,4.981127433294517e-06,0.006729933088695941,2.2429582214154474e-10
49,5.947785693792192e-06,0.007373916621594278,2.950416695585496e-10
50,7.102037667781799e-06,0.008075884551657688,3.875777181717751e-10
51,8.480288569784169e-06,0.008841373471065877,5.085662769126571e-10
52,1.0126008561325107e-05,0.009676412635497386,6.667014206550982e-10
53,1.209110380386961e-05,0.010587580720148777,8.733299663083497e-10
54,1.4437553583977899e-05,0.011582052775104155,1.143259231035754e-09
55,1.723936514576307e-05,0.012667658238584283,1.4958121884767356e-09
56,2.0584907886247716e-05,0.013852946203658978,1.956205452799154e-09
57,2.457970053435789e-05,0.015147241005533617,2.5573407976029377e-09
58,2.9349739221439e-05,0.016560731769042488,3.3421547634174014e-09
59,3.504547141094694e-05,0.018104542925033985,4.3666730534046005e-09
60,4.184654102542583e-05,0.019790828819787297,5.704005407509862e-09
61,4.996745443251924e-05,0.02163285271718433,7.449538471826197e-09
62,5.966434599573884e-05,0.02364511373871613,9.727745948195087e-09
63,7.12430565760914e-05,0.025843447220414192,1.2701041737852217e-08
64,8.506877978125582e-05,0.028245159997282963,1.6581360183223686e-08
65,0.00010157758020590568,0.03086914010706184,2.164520280859256e-08
66,0.00012129014694954734,0.03373604113530551,2.8253382632527585e-08
67,0.00014482821619910452,0.03686842286152628,3.6876680542387665e-08
68,0.00017293418084602993,0.04029094688257591,4.812941852084605e-08
69,0.00020649450562708989,0.04403052415162093,6.281304132937306e-08
70,0.00024656768630453913,0.04811658933867236,8.197337900168569e-08
71,0.00029441763472082304,0.05258131073953365,1.069750861096824e-07
72,0.00035155354269554275,0.057459792830342575,1.3959848219062996e-07
73,0.0004197774820756881,0.06279043233617333,1.8216673652407407e-07
74,0.0005012412422491535,0.0686151710182429,2.3771099112301107e-07
75,0.0005985141977819911,0.07497986995118869,3.1018660924568665e-07
76,0.0007146643467309882,0.08193455054652715,4.0475334303676554e-07
77,0.0008533550755874785,0.08953394937588134,5.281444324621568e-07
78,0.0010189607028277062,0.09783789604823645,6.891457933084312e-07
79,0.0012167044453240585,0.10691163564911862,8.992182076078397e-07
80,0.0014528231590906016,0.11682662128296344,1.173318906600974e-06
81,0.0017347640503013254,0.12766075539676128,1.5309583779381652e-06
82,0.002071419560864933,0.13949927444195007,1.9975959073159473e-06
83,0.002473407836868981,0.15243533989357233,2.6064508927697277e-06
84,0.002953407625894192,0.16657053525916005,3.400854189347131e-06
85,0.00352655816589135,0.18201602561790492,4.43734747143593e-06
86,0.004210936678153115,0.19889330781517056,5.789704091124957e-06
87,0.005028128524553447,0.21733481003680208,7.554144417145534e-06
88,0.0060039080118669845,0.23748546268217186,9.856219135987536e-06
89,0.007169051315799833,0.25950348720193556,1.2859706825357692e-05
90,0.00856030716443128,0.28356169405763526,1.6778255461110332e-05
91,0.010221555896512387,0.3098489834637706,2.1890591686232787e-05
92,0.012205193451427775,0.33857111601683515,2.8560167533744365e-05
93,0.014573783941992937,0.36995324745554187,3.726113367609704e-05
94,0.017402032932386253,0.4042410064280547,4.86118335091309e-05
95,0.020779143658585363,0.44170247807091806,6.341862496416856e-05
96,0.024811630506719275,0.4826301884926328,8.273293357634333e-05
97,0.029626678486704954,0.5273432908911855,0.00010792559115582599
98,0.035376154659279006,0.5761897667312497,0.00014078346414921826
99,0.042241398037205856,0.6295489754847906,0.00018363549102517085
100,0.05043893903459164,0.6878342672544717,0.00023951628115384156
101,0.06022732885626661,0.7514952251175797,0.00031237830965774176
102,0.07191529422681203,0.8210225000385203,0.000407370514592463
103,0.08587147466014194,0.8969488029991142,0.0005311948373151243
104,0.10253604938402935,0.9798519540697026,0.0006925702869353015
105,0.12243462063385399,1.0703599470149148,0.0009028378430843135
106,0.1461947911959502,1.169152863756711,0.0011767363069854844
107,0.17456595905780686,1.2769663387132424,0.0015334068493281195
