,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,central_density
0,300000.0,5.0,2277002.489251828,206.68384855400373,0.22257926874861994,0.053355475917984764,0.024097107258393067,1.1415838803516948e-07,2277209.1731003816
1,300000.0,41.355932203389834,2277002.489251828,287.96347744542845,0.22256376280300214,0.14947579645543257,0.024092326851642733,2.819366665439261e-06,2277290.452729273
2,300000.0,77.71186440677967,2277002.489251828,373.0055395315411,0.2225435989863439,0.2137972480381535,0.024088683242011875,8.727403203100408e-06,2277375.494791359
3,300000.0,114.0677966101695,2277002.489251828,460.60058114618124,0.22253203127434487,0.30856015028904055,0.0240858595696876,2.57412908135702e-05,2277463.089832974
4,300000.0,150.42372881355934,2277002.489251828,550.0748212333865,0.2225206479793859,0.5171747068566295,0.02408301779240416,0.00011321180680577795,2277552.564073061
5,300000.0,186.77966101694918,2277002.489251828,641.0072087605223,0.22250932232304318,1.3332635856320638,0.02408016179906299,0.0018075798979064555,2277643.496460588
6,300000.0,223.135593220339,2277002.489251828,733.1137797853969,0.22249798116807015,5.658869104211781,0.024077293179293722,0.13668326702363473,2277735.6030316134
7,300000.0,259.49152542372883,2277002.489251828,826.1922803437997,0.2224866480405985,8.586002106453515,0.024074414524351512,0.49039548151767487,2277828.6815321716
8,300000.0,295.8474576271187,2277002.489251828,920.0926084742566,0.2224752390648499,10.121713413754692,0.024071527531701994,0.8255896776265551,2277922.581860302
9,300000.0,332.2033898305085,2277002.489251828,1014.6997292985134,0.22246382039179216,11.054749889750674,0.02406863349900853,1.103476430261699,2278017.1889811265
10,300000.0,368.55932203389835,2277002.489251828,1109.9231762901754,0.22245235188634552,11.66683474986744,0.02406573343179573,1.328404624284024,2278112.412428118
11,300000.0,404.9152542372882,2277002.489251828,1205.6902782325299,0.22244089456273342,12.087162862116715,0.024062828136792915,1.5104131407766235,2278208.1795300604
12,300000.0,441.271186440678,2277002.489251828,1301.9416130516715,0.22242940733040564,12.384292993444665,0.02405991812440288,1.6586442045880458,2278304.4308648794
13,300000.0,477.6271186440678,2277002.489251828,1398.6278541105967,0.22241795691519628,12.598141774766408,0.02405700421682494,1.7803594034253158,2278401.1171059385
14,300000.0,513.9830508474577,2277002.489251828,1495.7075206588556,0.22240651845053488,12.753531536028495,0.024054086724992093,1.8811297236252604,2278498.196772487
15,300000.0,550.3389830508476,2277002.489251828,1593.1453344591077,0.2223950475980987,12.866679170683009,0.024051166029265,1.9652045306564723,2278595.6345862867
16,300000.0,586.6949152542373,2277002.489251828,1690.9109941527481,0.2223835293918933,12.948590158891953,0.024048242457659557,2.035837956051163,2278693.4002459804
17,300000.0,623.0508474576271,2277002.489251828,1788.9782444753837,0.22237202694079544,13.006968115752416,0.024045314888842376,2.0955433118451827,2278791.4674963034
18,300000.0,659.406779661017,2277002.489251828,1887.3241580008669,0.2223605354598422,13.04734512077612,0.024042386381588652,2.146281149841804,2278889.8134098286
19,300000.0,695.7627118644068,2277002.489251828,1985.928572950609,0.22234901870434665,13.073777515244732,0.024039455750396167,2.189595676494471,2278988.4178247782
20,300000.0,732.1186440677967,2277002.489251828,2084.773647520704,0.22233749676639822,13.089297441250183,0.024036523188924176,2.2267167285558918,2279087.2628993485
21,300000.0,768.4745762711865,2277002.489251828,2183.843502504019,0.22232595723079057,13.096204212517476,0.02403358886783313,2.2586315403851915,2279186.3327543316
22,300000.0,804.8305084745764,2277002.489251828,2283.1239317243944,0.22231443234266943,13.09627750900608,0.024030652941246376,2.286144870059843,2279285.6131835524
23,300000.0,841.1864406779662,2277002.489251828,2382.6021651894857,0.22230292711726263,13.09088732113959,0.024027715549034562,2.309908679885366,2279385.0914170174
24,300000.0,877.542372881356,2277002.489251828,2482.266673685394,0.22229136833073962,13.081121014430039,0.024024776810710146,2.3304621317494547,2279484.7559255133
25,300000.0,913.8983050847459,2277002.489251828,2582.107006280731,0.2222798603774201,13.067835691744373,0.02402183684388227,2.348253984059169,2279584.5962581085
26,300000.0,950.2542372881356,2277002.489251828,2682.1136542092995,0.22226829612314195,13.051722581350695,0.02401889574632681,2.363658026404467,2279684.602906037
27,300000.0,986.6101694915255,2277002.489251828,2782.27793607912,0.22225675352553356,13.03334762420044,0.024015953614667063,2.3769898924956334,2279784.767187907
28,300000.0,1022.9661016949153,2277002.489251828,2882.591900460798,0.2222452374049648,13.01314624129948,0.024013010534924523,2.38851368514615,2279885.0811522887
29,300000.0,1059.322033898305,2277002.489251828,2983.0482427435554,0.22223367981262154,12.991492001153828,0.02401006658330389,2.398455377965022,2279985.5374945714
30,300000.0,1095.6779661016951,2277002.489251828,3083.6402337849804,0.22222213600972346,12.968685080277272,0.024007121834341547,2.4070081070537706,2280086.1294856127
31,300000.0,1132.033898305085,2277002.489251828,3184.361658372095,0.22221057380936332,12.94497982412721,0.024004176353815503,2.4143387799056666,2280186.8509102
32,300000.0,1168.3898305084747,2277002.489251828,3285.206761893499,0.2221990194309534,12.920573667841865,0.024001230204487745,2.420587535477886,2280287.696013721
33,300000.0,1204.7457627118645,2277002.489251828,3386.1702039219517,0.22218745045962165,12.89564556663123,0.023998283443141463,2.425881382254554,2280388.6594557497
34,300000.0,1241.1016949152543,2277002.489251828,3487.2470176434513,0.22217588493634388,12.870325423669824,0.023995336124725063,2.4303239691101832,2280489.7362694712
35,300000.0,1277.4576271186443,2277002.489251828,3588.432574257195,0.2221643259450104,12.844740665246457,0.023992388298150525,2.4340105714807443,2280590.921826085
36,300000.0,1313.813559322034,2277002.489251828,3689.7225516216886,0.22215279074700914,12.818995389836301,0.023989440011031996,2.437026069239132,2280692.2118034493
37,300000.0,1350.1694915254238,2277002.489251828,3791.112906543955,0.22214124945967745,12.793153147637852,0.023986491305626998,2.43943639860154,2280793.602158372
38,300000.0,1386.5254237288136,2277002.489251828,3892.5998502074376,0.22212971005061116,12.767303513319298,0.02398354222289069,2.441309883206654,2280895.0891020354
39,300000.0,1422.8813559322036,2277002.489251828,3994.1798263147366,0.222118142168678,12.741488799183092,0.023980592800304585,2.442699605153542,2280996.6690781424
40,300000.0,1459.2372881355934,2277002.489251828,4095.8494915873266,0.22210659513958747,12.715768188345947,0.023977643075211788,2.4436572449019103,2281098.338743415
41,300000.0,1495.5932203389832,2277002.489251828,4197.605698318875,0.22209502734629818,12.690170127971871,0.02397469308024918,2.444223439794328,2281200.0949501465
42,300000.0,1531.949152542373,2277002.489251828,4299.445478723836,0.22208347870930714,12.664739304757083,0.023971742848257656,2.444440176998393,2281301.9347305517
43,300000.0,1568.3050847457628,2277002.489251828,4401.366030860596,0.22207192846130475,12.639496934113758,0.023968792409188623,2.44434134493037,2281403.8552826885
44,300000.0,1604.6610169491528,2277002.489251828,4503.364705939766,0.22206036467315332,12.614472889018174,0.023965841790957634,2.4439592517126867,2281505.8539577676
45,300000.0,1641.0169491525426,2277002.489251828,4605.4389968546,0.22204881213516206,12.589671967051888,0.02396289102114481,2.4433180088924296,2281607.9282486825
46,300000.0,1677.3728813559323,2277002.489251828,4707.586527792724,0.2220372532379704,12.565130194982093,0.023959940124787315,2.4424480211448487,2281710.0757796206
47,300000.0,1713.7288135593221,2277002.489251828,4809.805044807099,0.22202569390900923,12.540834313890361,0.023956989126227315,2.4413648900378666,2281812.294296635
48,300000.0,1750.084745762712,2277002.489251828,4912.092407240172,0.2220141094201614,12.516824578413297,0.02395403804784488,2.4400980879494667,2281914.581659068
49,300000.0,1786.440677966102,2277002.489251828,5014.446579908672,0.22200255669344574,12.493087825499915,0.023951086913087304,2.4386589618708947,2282016.9358317363
50,300000.0,1822.7966101694917,2277002.489251828,5116.865625968223,0.22199099406605938,12.46962753265537,0.023948135741468733,2.4370635051479703,2282119.354877796
51,300000.0,1859.1525423728815,2277002.489251828,5219.34770038683,0.22197943676970502,12.44646520594,0.023945184553226456,2.4353314605984733,2282221.8369522146
52,300000.0,1895.5084745762713,2277002.489251828,5321.8910439649435,0.2219678820119489,12.423585812906833,0.02394223336716767,2.433471273364231,2282324.3802957926
53,300000.0,1931.8644067796613,2277002.489251828,5424.493977847152,0.22195632647765037,12.401001703801544,0.02393928220113693,2.4314987141657545,2282426.983229675
54,300000.0,1968.220338983051,2277002.489251828,5527.1548984770025,0.22194476833720228,12.378716661277867,0.023936331072226348,2.4294252921334025,2282529.6441503046
55,300000.0,2004.5762711864409,2277002.489251828,5629.872272951994,0.22193323673704032,12.356721826509842,0.023933379997770256,2.4272585331560026,2282632.36152478
56,300000.0,2040.9322033898306,2277002.489251828,5732.644634740594,0.2219216655269021,12.335012356508184,0.02393042899152981,2.425006196854364,2282735.1338865682
57,300000.0,2077.2881355932204,2277002.489251828,5835.470579727407,0.22191011478302825,12.313606940261753,0.023927478070223763,2.422682856518108,2282837.9598315554
58,300000.0,2113.64406779661,2277002.489251828,5938.348762556267,0.22189857200787716,12.292483450493062,0.023924527247807702,2.42029005732967,2282940.8380143843
59,300000.0,2150.0,2277002.489251828,6041.2778932442625,0.22188702706253113,12.271643115693742,0.023921576537844748,2.417836063369928,2283043.767145072
