e p
4.41470e+00 8.77178e-03
4.73275e+00 9.84615e-03
5.07374e+00 1.10520e-02
5.43934e+00 1.24055e-02
5.83133e+00 1.39245e-02
6.25161e+00 1.56295e-02
6.70224e+00 1.75430e-02
7.18541e+00 1.96906e-02
7.70347e+00 2.21009e-02
8.25897e+00 2.48059e-02
8.85461e+00 2.78418e-02
9.49330e+00 3.12488e-02
1.01782e+01 3.50723e-02
1.09126e+01 3.93631e-02
1.17001e+01 4.41782e-02
1.25446e+01 4.95816e-02
1.34502e+01 5.56452e-02
1.44214e+01 6.24493e-02
1.54629e+01 7.00842e-02
1.65799e+01 7.86512e-02
1.77778e+01 8.82639e-02
1.90626e+01 9.90496e-02
2.04406e+01 1.11151e-01
2.19186e+01 1.24729e-01
2.35038e+01 1.39962e-01
2.52042e+01 1.57052e-01
2.70281e+01 1.76225e-01
2.89846e+01 1.97733e-01
3.10834e+01 2.21861e-01
3.33349e+01 2.48927e-01
3.57504e+01 2.79287e-01
3.83418e+01 3.13341e-01
4.11221e+01 3.51537e-01
4.41052e+01 3.94376e-01
4.73060e+01 4.42420e-01
5.07406e+01 4.96302e-01
5.44262e+01 5.56725e-01
5.83813e+01 6.24481e-01
6.26260e+01 7.00456e-01
6.71816e+01 7.85643e-01
7.20711e+01 8.81153e-01
7.73195e+01 9.88230e-01
8.29533e+01 1.10827e+00
8.90013e+01 1.24283e+00
9.54943e+01 1.39365e+00
1.02466e+02 1.56270e+00
1.09951e+02 1.75216e+00
1.17989e+02 1.96448e+00
1.26621e+02 2.20240e+00
1.35891e+02 2.46898e+00
1.45849e+02 2.76766e+00
1.56545e+02 3.10225e+00
1.68035e+02 3.47706e+00
1.80380e+02 3.89688e+00
1.93644e+02 4.36706e+00
2.07898e+02 4.89358e+00
2.23216e+02 5.48315e+00
2.39680e+02 6.14324e+00
2.57379e+02 6.88220e+00
2.76406e+02 7.70936e+00
2.96863e+02 8.63512e+00
3.18862e+02 9.67112e+00
3.42521e+02 1.08303e+01
3.67969e+02 1.21272e+01
3.95345e+02 1.35780e+01
4.24800e+02 1.52006e+01
4.56496e+02 1.70151e+01
4.90608e+02 1.90440e+01
5.27326e+02 2.13122e+01
5.66857e+02 2.38476e+01
6.09422e+02 2.66811e+01
6.55263e+02 2.98472e+01
7.04640e+02 3.33843e+01
7.57835e+02 3.73353e+01
8.15155e+02 4.17477e+01
8.76930e+02 4.66745e+01
9.43521e+02 5.21746e+01
1.01532e+03 5.83135e+01
1.09274e+03 6.51638e+01
1.17625e+03 7.28066e+01
1.26634e+03 8.13317e+01
1.36356e+03 9.08388e+01
1.46849e+03 1.01439e+02
1.58177e+03 1.13254e+02
1.70408e+03 1.26422e+02
1.83619e+03 1.41093e+02
1.97891e+03 1.57436e+02
2.13313e+03 1.75636e+02
2.29982e+03 1.95899e+02
2.48003e+03 2.18453e+02
2.67490e+03 2.43552e+02
2.88569e+03 2.71476e+02
3.11374e+03 3.02533e+02
3.36055e+03 3.37068e+02
3.62771e+03 3.75460e+02
3.91700e+03 4.18127e+02
4.23031e+03 4.65534e+02
4.56974e+03 5.18193e+02
4.93756e+03 5.76671e+02
5.33625e+03 6.41592e+02
5.76852e+03 7.13649e+02
6.23732e+03 7.93602e+02
6.74588e+03 8.82295e+02
7.29771e+03 9.80657e+02
7.89666e+03 1.08971e+03
8.54693e+03 1.21059e+03
9.25308e+03 1.34454e+03
1.00201e+04 1.49293e+03
1.08536e+04 1.65728e+03
1.17593e+04 1.83926e+03
1.27440e+04 2.04071e+03
1.38147e+04 2.26365e+03
1.49792e+04 2.51031e+03
1.62461e+04 2.78316e+03
1.76246e+04 3.08489e+03
1.91251e+04 3.41849e+03
2.07587e+04 3.78722e+03
2.25376e+04 4.19471e+03
2.44751e+04 4.64491e+03
2.65860e+04 5.14220e+03
2.88861e+04 5.69137e+03
3.13931e+04 6.29770e+03
3.41262e+04 6.96700e+03
3.71062e+04 7.70566e+03
4.03563e+04 8.52071e+03
4.39015e+04 9.41984e+03
4.77695e+04 1.04116e+04
5.19904e+04 1.15052e+04
5.65974e+04 1.27110e+04
6.16265e+04 1.40402e+04
6.71175e+04 1.55052e+04
7.31137e+04 1.71195e+04
7.96629e+04 1.88982e+04
8.68171e+04 2.08577e+04
9.46334e+04 2.30158e+04
1.03174e+05 2.53926e+04
1.12509e+05 2.80096e+04
1.22711e+05 3.08909e+04
1.33865e+05 3.40625e+04
1.46060e+05 3.75534e+04
1.59394e+05 4.13951e+04
1.73977e+05 4.56225e+04
1.89927e+05 5.02735e+04
2.07374e+05 5.53901e+04
2.26461e+05 6.10183e+04
2.47345e+05 6.72085e+04
2.70196e+05 7.40162e+04
2.95204e+05 8.15021e+04
3.22574e+05 8.97330e+04
3.52531e+05 9.87823e+04
3.85325e+05 1.08730e+05
4.21225e+05 1.19665e+05
4.60531e+05 1.31685e+05
5.03568e+05 1.44894e+05
5.50694e+05 1.59411e+05
6.02302e+05 1.75363e+05
6.58823e+05 1.92891e+05
7.20727e+05 2.12149e+05
7.88532e+05 2.33307e+05
8.62806e+05 2.56550e+05
9.44171e+05 2.82084e+05
1.03331e+06 3.10130e+05
1.13097e+06 3.40936e+05
1.23797e+06 3.74771e+05
1.35521e+06 4.11931e+05
1.48368e+06 4.52739e+05
1.62446e+06 4.97554e+05
1.77873e+06 5.46765e+05
1.94781e+06 6.00801e+05
2.13310e+06 6.60133e+05
2.33619e+06 7.25278e+05
2.55878e+06 7.96802e+05
2.80277e+06 8.75327e+05
3.07021e+06 9.61534e+05
3.36336e+06 1.05617e+06
3.68472e+06 1.16007e+06
4.03701e+06 1.27411e+06
4.42321e+06 1.39930e+06
4.84660e+06 1.53671e+06
5.31078e+06 1.68755e+06
5.81969e+06 1.85310e+06
6.37765e+06 2.03481e+06
6.98941e+06 2.23425e+06
7.66017e+06 2.45314e+06
8.39563e+06 2.69337e+06
9.20205e+06 2.95702e+06
1.00863e+07 3.24637e+06
1.10559e+07 3.56391e+06
1.21191e+07 3.91239e+06
1.32850e+07 4.29481e+06
1.45636e+07 4.71447e+06
1.59656e+07 5.17498e+06
1.75031e+07 5.68034e+06
1.91892e+07 6.23487e+06
2.10382e+07 6.84338e+06
2.30660e+07 7.51109e+06
2.52899e+07 8.24376e+06
2.77288e+07 9.04770e+06
3.04035e+07 9.92983e+06
3.33370e+07 1.08978e+07
