e p
4.40167e-06 1.49536e-10
4.88478e-06 1.84124e-10
5.42092e-06 2.26714e-10
6.01591e-06 2.79158e-10
6.67621e-06 3.43735e-10
7.40898e-06 4.23252e-10
8.22218e-06 5.21169e-10
9.12465e-06 6.41741e-10
1.01262e-05 7.90213e-10
1.12377e-05 9.73038e-10
1.24711e-05 1.19817e-09
1.38400e-05 1.47540e-09
1.53592e-05 1.81677e-09
1.70451e-05 2.23715e-09
1.89161e-05 2.75482e-09
2.09925e-05 3.39227e-09
2.32969e-05 4.17726e-09
2.58543e-05 5.14391e-09
2.86925e-05 6.33428e-09
3.18424e-05 7.80014e-09
3.53381e-05 9.60527e-09
3.92177e-05 1.18282e-08
4.35234e-05 1.45656e-08
4.83020e-05 1.79366e-08
5.36055e-05 2.20878e-08
5.94915e-05 2.71999e-08
6.60241e-05 3.34952e-08
7.32745e-05 4.12476e-08
8.13216e-05 5.07945e-08
9.02531e-05 6.25513e-08
1.00166e-04 7.70294e-08
1.11169e-04 9.48588e-08
1.23382e-04 1.16815e-07
1.36937e-04 1.43855e-07
1.51984e-04 1.77153e-07
1.68686e-04 2.18159e-07
1.87227e-04 2.68658e-07
2.07808e-04 3.30847e-07
2.30656e-04 4.07432e-07
2.56020e-04 5.01746e-07
2.84180e-04 6.17893e-07
3.15445e-04 7.60928e-07
3.50159e-04 9.37076e-07
3.88704e-04 1.15400e-06
4.31505e-04 1.42115e-06
4.79037e-04 1.75014e-06
5.31826e-04 2.15529e-06
5.90458e-04 2.65424e-06
6.55585e-04 3.26871e-06
7.27935e-04 4.02542e-06
8.08318e-04 4.95733e-06
8.97637e-04 6.10499e-06
9.96898e-04 7.51834e-06
1.10723e-03 9.25891e-06
1.22987e-03 1.14025e-05
1.36625e-03 1.40423e-05
1.51790e-03 1.72932e-05
1.68660e-03 2.12969e-05
1.87431e-03 2.62275e-05
2.08321e-03 3.22996e-05
2.31578e-03 3.97775e-05
2.57479e-03 4.89868e-05
2.86335e-03 6.03283e-05
3.18495e-03 7.42956e-05
3.54356e-03 9.14967e-05
3.94362e-03 1.12680e-04
4.39016e-03 1.38769e-04
4.88890e-03 1.70897e-04
5.44628e-03 2.10464e-04
6.06966e-03 2.59192e-04
6.76739e-03 3.19203e-04
7.54900e-03 3.93107e-04
8.42540e-03 4.84123e-04
9.40908e-03 5.96212e-04
1.05144e-02 7.34254e-04
1.17578e-02 9.04257e-04
1.31584e-02 1.11362e-03
1.47382e-02 1.37146e-03
1.65227e-02 1.68900e-03
1.85419e-02 2.08006e-03
2.08302e-02 2.56167e-03
2.34284e-02 3.15478e-03
2.63840e-02 3.88523e-03
2.97529e-02 4.78480e-03
3.36011e-02 5.89265e-03
3.80066e-02 7.25702e-03
4.30618e-02 8.93730e-03
4.88765e-02 1.10066e-02
5.55814e-02 1.35551e-02
6.33326e-02 1.66936e-02
7.23168e-02 2.05588e-02
8.27577e-02 2.53190e-02
9.49244e-02 3.11814e-02
1.09140e-01 3.84011e-02
1.25796e-01 4.72925e-02
1.45363e-01 5.82427e-02
1.68410e-01 7.17283e-02
1.95630e-01 8.83364e-02
2.27860e-01 1.08790e-01
2.66119e-01 1.33979e-01
3.11644e-01 1.65001e-01
3.65945e-01 2.03206e-01
4.30858e-01 2.50257e-01
5.08627e-01 3.08203e-01
6.01988e-01 3.79565e-01
7.14288e-01 4.67451e-01
8.49618e-01 5.75687e-01
1.01298e+00 7.08984e-01
1.21051e+00 8.73145e-01
1.44972e+00 1.07532e+00
1.73980e+00 1.32430e+00
2.09204e+00 1.63094e+00
2.52029e+00 2.00857e+00
3.04154e+00 2.47365e+00
3.67664e+00 3.04641e+00
4.45121e+00 3.75180e+00
5.39670e+00 4.62051e+00
6.55177e+00 5.69037e+00
7.96392e+00 7.00795e+00
9.69154e+00 8.63062e+00
1.18064e+01 1.06290e+01
1.43968e+01 1.30901e+01
1.75712e+01 1.61211e+01
2.14632e+01 1.98539e+01
2.62370e+01 2.44510e+01
3.20947e+01 3.01126e+01
3.92848e+01 3.70851e+01
4.81133e+01 4.56720e+01
5.89566e+01 5.62473e+01
7.22780e+01 6.92712e+01
8.86478e+01 8.53108e+01
1.08768e+02 1.05064e+02
1.33502e+02 1.29392e+02
1.63914e+02 1.59352e+02
2.01312e+02 1.96250e+02
2.47310e+02 2.41691e+02
3.03890e+02 2.97654e+02
3.73497e+02 3.66576e+02
4.59137e+02 4.51456e+02
5.64515e+02 5.55989e+02
6.94190e+02 6.84728e+02
8.53778e+02 8.43276e+02
1.05019e+03 1.03854e+03
1.29194e+03 1.27901e+03
1.58952e+03 1.57516e+03
1.95582e+03 1.93989e+03
2.40675e+03 2.38906e+03
2.96189e+03 2.94225e+03
3.64532e+03 3.62353e+03
4.48674e+03 4.46255e+03
5.52270e+03 5.49585e+03
6.79822e+03 6.76841e+03
8.36872e+03 8.33563e+03
1.03025e+04 1.02657e+04
1.26835e+04 1.26428e+04
1.56154e+04 1.55702e+04
1.92257e+04 1.91755e+04
2.36713e+04 2.36155e+04
2.91456e+04 2.90837e+04
3.58868e+04 3.58180e+04
4.41880e+04 4.41116e+04
5.44104e+04 5.43257e+04
6.69989e+04 6.69048e+04
8.25010e+04 8.23966e+04
1.01591e+05 1.01475e+05
1.25101e+05 1.24972e+05
1.54052e+05 1.53909e+05
1.89706e+05 1.89547e+05
2.33613e+05 2.33437e+05
2.87685e+05 2.87489e+05
3.54274e+05 3.54057e+05
4.36280e+05 4.36039e+05
5.37272e+05 5.37003e+05
6.61645e+05 6.61346e+05
8.14813e+05 8.14481e+05
1.00344e+06 1.00307e+06
1.23575e+06 1.23534e+06
