e p
2.75095e-19 5.49989e-26
3.05287e-19 6.54529e-26
3.38794e-19 7.78455e-26
3.75977e-19 9.25944e-26
4.17241e-19 1.10162e-25
4.63035e-19 1.31025e-25
5.13854e-19 1.55855e-25
5.70251e-19 1.85398e-25
6.32837e-19 2.20592e-25
7.02293e-19 2.62348e-25
7.79371e-19 3.12128e-25
8.64909e-19 3.71243e-25
9.59835e-19 4.41572e-25
1.06518e-18 5.25323e-25
1.18209e-18 6.24882e-25
1.31182e-18 7.43290e-25
1.45580e-18 8.84188e-25
1.61558e-18 1.05175e-24
1.79289e-18 1.25114e-24
1.98966e-18 1.48822e-24
2.20803e-18 1.77028e-24
2.45037e-18 2.10586e-24
2.71931e-18 2.50498e-24
3.01776e-18 2.97978e-24
3.34896e-18 3.54451e-24
3.71652e-18 4.21633e-24
4.12442e-18 5.01546e-24
4.57709e-18 5.96607e-24
5.07943e-18 7.09683e-24
5.63692e-18 8.44197e-24
6.25558e-18 1.00420e-23
6.94215e-18 1.19452e-23
7.70407e-18 1.42092e-23
8.54961e-18 1.69024e-23
9.48795e-18 2.01060e-23
1.05293e-17 2.39168e-23
1.16849e-17 2.84498e-23
1.29674e-17 3.38419e-23
1.43906e-17 4.02561e-23
1.59700e-17 4.78860e-23
1.77227e-17 5.69621e-23
1.96678e-17 6.77583e-23
2.18264e-17 8.06008e-23
2.42219e-17 9.58773e-23
2.68804e-17 1.14049e-22
2.98306e-17 1.35665e-22
3.31046e-17 1.61379e-22
3.67379e-17 1.91965e-22
4.07700e-17 2.28349e-22
4.52446e-17 2.71629e-22
5.02104e-17 3.23111e-22
5.57211e-17 3.84351e-22
6.18367e-17 4.57199e-22
6.86235e-17 5.43853e-22
7.61552e-17 6.46931e-22
8.45135e-17 7.69546e-22
9.37891e-17 9.15400e-22
1.04083e-16 1.08890e-21
1.15506e-16 1.29528e-21
1.28184e-16 1.54078e-21
1.42252e-16 1.83280e-21
1.57865e-16 2.18018e-21
1.75191e-16 2.59339e-21
1.94419e-16 3.08492e-21
2.15758e-16 3.66961e-21
2.39438e-16 4.36512e-21
2.65717e-16 5.19245e-21
2.94881e-16 6.17658e-21
3.27246e-16 7.34723e-21
3.63163e-16 8.73975e-21
4.03022e-16 1.03962e-20
4.47256e-16 1.23666e-20
4.96345e-16 1.47104e-20
5.50822e-16 1.74985e-20
6.11278e-16 2.08150e-20
6.78370e-16 2.47600e-20
7.52825e-16 2.94527e-20
8.35453e-16 3.50349e-20
9.27150e-16 4.16749e-20
1.02891e-15 4.95735e-20
1.14184e-15 5.89690e-20
1.26717e-15 7.01451e-20
1.40626e-15 8.34394e-20
1.56061e-15 9.92533e-20
1.73190e-15 1.18064e-19
1.92199e-15 1.40440e-19
2.13295e-15 1.67057e-19
2.36707e-15 1.98718e-19
2.62688e-15 2.36379e-19
2.91522e-15 2.81178e-19
3.23521e-15 3.34466e-19
3.59032e-15 3.97854e-19
3.98441e-15 4.73254e-19
4.42177e-15 5.62943e-19
4.90713e-15 6.69629e-19
5.44578e-15 7.96532e-19
6.04357e-15 9.47484e-19
6.70698e-15 1.12704e-18
7.44322e-15 1.34063e-18
8.26029e-15 1.59468e-18
9.16707e-15 1.89688e-18
1.01734e-14 2.25635e-18
1.12902e-14 2.68393e-18
1.25297e-14 3.19252e-18
1.39052e-14 3.79749e-18
1.54318e-14 4.51709e-18
1.71260e-14 5.37303e-18
1.90063e-14 6.39114e-18
2.10931e-14 7.60215e-18
2.34090e-14 9.04260e-18
2.59793e-14 1.07560e-17
2.88319e-14 1.27939e-17
3.19978e-14 1.52179e-17
3.55114e-14 1.81011e-17
3.94110e-14 2.15305e-17
4.37391e-14 2.56094e-17
4.85426e-14 3.04610e-17
5.38739e-14 3.62315e-17
5.97911e-14 4.30949e-17
6.63584e-14 5.12581e-17
7.36476e-14 6.09672e-17
8.17379e-14 7.25149e-17
9.07175e-14 8.62491e-17
1.00684e-13 1.02584e-16
1.11747e-13 1.22011e-16
1.24026e-13 1.45116e-16
1.37656e-13 1.72594e-16
1.52784e-13 2.05274e-16
1.69577e-13 2.44138e-16
1.88218e-13 2.90357e-16
2.08910e-13 3.45321e-16
2.31880e-13 4.10684e-16
2.57378e-13 4.88412e-16
2.85685e-13 5.80841e-16
3.17109e-13 6.90751e-16
3.51995e-13 8.21442e-16
3.90726e-13 9.76841e-16
4.33726e-13 1.16161e-15
4.81467e-13 1.38131e-15
5.34475e-13 1.64251e-15
5.93331e-13 1.95305e-15
6.58684e-13 2.32224e-15
7.31254e-13 2.76114e-15
8.11842e-13 3.28288e-15
9.01336e-13 3.90308e-15
1.00073e-12 4.64027e-15
1.11111e-12 5.51649e-15
1.23372e-12 6.55790e-15
1.36991e-12 7.79554e-15
1.52119e-12 9.26633e-15
1.68926e-12 1.10140e-14
1.87598e-12 1.30907e-14
2.08343e-12 1.55580e-14
2.31396e-12 1.84891e-14
2.57013e-12 2.19710e-14
2.85484e-12 2.61068e-14
3.17129e-12 3.10188e-14
3.52305e-12 3.68521e-14
3.91412e-12 4.37785e-14
4.34894e-12 5.20021e-14
4.83247e-12 6.17644e-14
5.37023e-12 7.33517e-14
5.96840e-12 8.71034e-14
6.63386e-12 1.03421e-13
7.37430e-12 1.22780e-13
8.19833e-12 1.45744e-13
9.11554e-12 1.72979e-13
1.01367e-11 2.05272e-13
1.12737e-11 2.43555e-13
1.25402e-11 2.88930e-13
1.39510e-11 3.42697e-13
1.55231e-11 4.06394e-13
1.72754e-11 4.81835e-13
1.92289e-11 5.71160e-13
2.14076e-11 6.76895e-13
2.38380e-11 8.02018e-13
2.65500e-11 9.50035e-13
2.95774e-11 1.12508e-12
3.29579e-11 1.33201e-12
3.67341e-11 1.57656e-12
4.09539e-11 1.86545e-12
4.56713e-11 2.20658e-12
5.09472e-11 2.60923e-12
5.68500e-11 3.08431e-12
6.34573e-11 3.64459e-12
7.08566e-11 4.30505e-12
7.91465e-11 5.08323e-12
8.84390e-11 5.99967e-12
9.88605e-11 7.07840e-12
1.10554e-10 8.34748e-12
