,central_pressure,radius,mass
0,1e-09,1.001844806166393e-06,1.0213101827329457e-15
1,1.1996318701413786e-09,1.002214036346266e-06,1.0213101842384861e-15
2,1.4391166238588953e-09,1.0026573358765614e-06,1.0213101860475083e-15
3,1.7264101668313932e-09,1.0031896498024911e-06,1.0213101882218911e-15
4,2.0710566570670335e-09,1.0038289767583398e-06,1.021310190836443e-15
5,2.484505570686067e-09,1.0045970097066298e-06,1.02131019398174e-15
6,2.9804920641387994e-09,1.0055199185389846e-06,1.0213101977676469e-15
7,3.5754932688443504e-09,1.0066293091869052e-06,1.0213102023277157e-15
8,4.289275676781659e-09,1.0079634032941316e-06,1.0213102078247091e-15
9,5.145551801689508e-09,1.0095684985074925e-06,1.0213102144576039e-15
10,6.172767930770099e-09,1.01150077918891e-06,1.0213102224705232e-15
11,7.405049136738461e-09,1.0138285860544033e-06,1.0213102321642892e-15
12,8.88333294439436e-09,1.01663527243393e-06,1.0213102439114804e-15
13,1.0656729313172302e-08,1.0200228343209213e-06,1.021310258176343e-15
14,1.2784152115551311e-08,1.0241165666645865e-06,1.0213102755414737e-15
15,1.533627631055065e-08,1.0290711018783076e-06,1.0213102967441235e-15
16,1.8397885831430756e-08,1.035078338414632e-06,1.0213103227264443e-15
17,2.2070690186606847e-08,1.0423779973381746e-06,1.0213103547063236e-15
18,2.647670334387009e-08,1.051271900239022e-06,1.021310394279307e-15
19,3.17622971475853e-08,1.062143623009136e-06,1.0213104435685884e-15
20,3.8103063927143925e-08,1.0754860882360664e-06,1.021310505451326e-15
21,4.570964983703607e-08,1.0919411700636178e-06,1.0213105839098074e-15
22,5.483475271751102e-08,1.112357974343115e-06,1.021310684593774e-15
23,6.578151695124778e-08,1.1378810698520681e-06,1.0213108157539014e-15
24,7.891360420096202e-08,1.1700884496832921e-06,1.021310989857022e-15
25,9.46672745871964e-08,1.211215528539328e-06,1.0213112265202456e-15
26,1.1356587965422581e-07,1.264535265698925e-06,1.0213115581577403e-15
27,1.3623724859384909e-07,1.3350383527257996e-06,1.0213120416351087e-15
28,1.6343454531355505e-07,1.4307320172794723e-06,1.0213127844968335e-15
29,1.960612892402055e-07,1.5653314657444939e-06,1.0213140108616324e-15
30,2.35201371073557e-07,1.7644654768030352e-06,1.0213162529197106e-15
31,2.8215506064078747e-07,2.0822376133200604e-06,1.021321032614796e-15
32,3.3848220306636127e-07,2.6560729205965415e-06,1.0213341622340997e-15
33,4.0605403827407196e-07,3.967793868190107e-06,1.0213932902178274e-15
34,4.871153653131839e-07,9.731346171300788e-06,1.022554894382789e-15
35,5.843591166652543e-07,0.0003461596532545577,5.710699320143197e-14
36,7.010158199593016e-07,0.0006650999621862039,3.9883841302593247e-13
37,8.409609190964688e-07,0.000911686948067814,1.02563438636775e-12
38,1.0088435200915053e-06,0.0011393041624415232,2.000614894650695e-12
39,1.2102408386873837e-06,0.0013631695329585835,3.426113739493618e-12
40,1.4518434806360135e-06,0.0015907192503150428,5.4435821640120116e-12
41,1.7416777098279456e-06,0.0018266897921631173,8.242726762662992e-12
42,2.0893720882244517e-06,0.002074665368322308,1.2075457388230157e-11
43,2.506477345617891e-06,0.002337700943193224,1.7274887103306796e-11
44,3.0068501055905824e-06,0.0026186214544381505,2.42805834772811e-11
45,3.607113215404432e-06,0.002920186760598802,3.367190925464536e-11
46,4.327207972407291e-06,0.0032451915648520732,4.6211844275921047e-11
47,5.191056592429631e-06,0.0035965372409936082,6.290474771339179e-11
48,6.227356927986089e-06,0.003977283408611865,8.507217174734644e-11
49,7.470535837557806e-06,0.004390692124295243,1.1445256332097369e-10
50,8.961892877767642e-06,0.004840267186738904,1.533322802207444e-10
51,1.0750972312963074e-05,0.005329792442923615,2.0471786970117712e-10
52,1.2897209021638074e-05,0.005863365614475366,2.7256196693249606e-10
53,1.547190297823191e-05,0.006445440745035421,3.620610355365137e-10
54,1.8560587904422273e-05,0.007080865294150474,4.800457505266607e-10
55,2.2265872778705493e-05,0.0077749230050620675,6.354943624261397e-10
56,2.671085060184848e-05,0.008533380759808168,8.402076293917309e-10
