,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,total_mass,radius
0,39.047325807623565,3.3291388786178677,22579.54092287612,660.9390899347605,0.29099004154809144,0.4850056621534452,0.0006542282989726049,0.0002803797288164318,0.0009346080277890367,0.4850056621534452
1,93.45679907128215,5.466481278365055,34968.87439346825,666.3660338753924,0.2934004006248213,0.5633929002084437,0.0010265644835426668,0.00043993877568741227,0.001466503259230079,0.5633929002084437
2,227.49919336289167,8.976020122994068,54645.99821447514,675.4367807926436,0.29432650719670617,0.6536312230486413,0.001605214316981604,0.0006879766428066036,0.0022931909597882078,0.6536312230486413
3,558.9852257072926,14.738720055123064,85867.6791674658,690.7270243367033,0.29382920299504917,0.7562702906876091,0.002491320388711463,0.0010676844465924084,0.0035590048353038714,0.7562702906876091
4,1374.310111105442,24.201134343137696,135146.52911155374,716.7689474288509,0.2918110035612816,0.8708644737965204,0.003813811641255483,0.0016344851279516738,0.005448296769207156,0.8708644737965204
5,3345.308141261339,39.73851876581513,212066.9865314299,761.5771138899072,0.28802346570755755,0.9950349560176789,0.005707780004567108,0.0024462468757224303,0.008154026880289537,0.9950349560176789
6,7956.029449701309,65.2510684545165,329856.41552738065,839.1270765871893,0.2821470374578955,1.123766582065191,0.008256982522291177,0.0035386309277921062,0.011795613450083283,1.123766582065191
7,18204.986754655838,107.14294509937048,505160.2905343072,972.9664285599442,0.2739581506255558,1.2494850576851395,0.01140624110575598,0.004888172758677067,0.016294413864433047,1.2494850576851395
8,39502.845685482025,175.92984998503937,756839.0300230276,1201.093238394633,0.2635271133003447,1.3635591151618054,0.014904117600522727,0.006387256976736984,0.02129137457725971,1.3635591151618054
9,80537.72681713104,288.8786759319752,1104833.5060039684,1583.1501682978937,0.2512947672459614,1.4590684214492844,0.01835818451147593,0.007867774955073835,0.026225959466549764,1.4590684214492844
10,154050.1614165306,474.34184372525914,1570715.1878290784,2212.7151040150484,0.2379412820009758,1.5327821425034154,0.021387854436859057,0.009166265678081409,0.030554120114940464,1.5327821425034154
11,277847.8212785721,778.8743284106546,2180452.6020519603,3239.1543597936734,0.22416174647807133,1.58510401215956,0.023751167786771894,0.01017898551085134,0.033930153297623236,1.58510401215956
12,476527.8320121765,1278.9198918080792,2968239.0029804744,4904.111996083763,0.21051630243969127,1.6186342584167628,0.025369580890860572,0.010873002867399879,0.03624258375826045,1.6186342584167628
13,784202.3485374451,2100.0,3980717.632851003,7601.116169310316,0.1973929265532867,1.6366333851790758,0.02628343165232726,0.011264832531877544,0.0375482641842048,1.6366333851790758
