,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,central_density
0,220.0,0.0001,3036389.5761906286,182.9639491437283,0.006727461779688924,0.00025494744026520374,6.301946389334738e-07,1.1387730159156448e-14,3036572.5401397725
1,220.0,14.814912962962962,3036389.5761906286,233.65596942323307,0.006726437856887106,9.668245987434382,6.300370503410471e-07,0.6834573206193859,3036623.232160052
2,220.0,29.629725925925925,3036389.5761906286,285.50893046012897,0.006726093859292711,11.308121686786356,6.299803873744384e-07,1.1803194766949205,3036675.0851210887
3,220.0,44.44453888888889,3036389.5761906286,337.98246326063594,0.006725747730237507,11.936062535967524,6.299233692061918e-07,1.4781456337282135,3036727.558653889
4,220.0,59.259351851851854,3036389.5761906286,390.574141386918,0.006725401265360816,12.199939292089258,6.298662916540216e-07,1.664547082752159,3036780.1503320155
5,220.0,74.07416481481482,3036389.5761906286,443.083277109736,0.006725055182000947,12.30114936279655,6.298092729102435e-07,1.7864067018950058,3036832.659467738
6,220.0,88.88897777777778,3036389.5761906286,495.434207014142,0.006724709750265346,12.320947214065859,6.297523575255616e-07,1.8686907989796608,3036885.010397643
7,220.0,103.70379074074074,3036389.5761906286,547.6009741476555,0.00672436506260175,12.297283264228232,6.296955607921101e-07,1.9254606352391397,3036937.1771647763
8,220.0,118.5186037037037,3036389.5761906286,599.5761291993596,0.006724021145062618,12.24963458770262,6.296388870841987e-07,1.9651038102473857,3036989.152319828
9,220.0,133.33341666666666,3036389.5761906286,651.3668228353529,0.006723677971351692,12.18871774843603,6.29582332167371e-07,1.992863432479829,3037040.943013464
10,220.0,148.14822962962964,3036389.5761906286,702.982070530788,0.0067233355095305675,12.120693668421168,6.295258908198172e-07,2.0121535548954292,3037092.5582611593
11,220.0,162.9630425925926,3036389.5761906286,754.4285404217568,0.006722993734867943,12.049230925073845,6.294695590761041e-07,2.0252766906597612,3037144.00473105
12,220.0,177.77785555555556,3036389.5761906286,805.7222949171704,0.006722652589600386,11.976559131984159,6.294133274987944e-07,2.033826173149676,3037195.298485546
13,220.0,192.5926685185185,3036389.5761906286,856.8653040812728,0.006722312066687165,11.904068093367947,6.293571949800564e-07,2.0389363200232196,3037246.44149471
14,220.0,207.40748148148148,3036389.5761906286,907.8711111899313,0.006721972117124114,11.832596600232847,6.293011535347462e-07,2.041426467339601,3037297.4473018185
15,220.0,222.22229444444443,3036389.5761906286,958.7512874128095,0.006721632699265587,11.76268544962173,6.292451963680061e-07,2.0419059888351594,3037348.3274780414
16,220.0,237.0371074074074,3036389.5761906286,1009.5078600462333,0.006721293805593995,11.694624135486453,6.291893222993826e-07,2.040827423743192,3037399.084050675
17,220.0,251.85192037037038,3036389.5761906286,1060.153363123811,0.006720955391375327,11.628580610327782,6.291335239975066e-07,2.0385361620429188,3037449.7295537526
18,220.0,266.6667333333333,3036389.5761906286,1110.6930729402159,0.006720617436898982,11.564632865374014,6.290777983004989e-07,2.0352978043779917,3037500.269263569
19,220.0,281.48154629629624,3036389.5761906286,1161.1285158526955,0.0067202799368248495,11.502801534501332,6.290221443517225e-07,2.0313193454541123,3037550.704706481
20,220.0,296.29635925925925,3036389.5761906286,1211.4707923937153,0.00671994285150653,11.4430679175429,6.289665556484419e-07,2.0267630438304525,3037601.0469830222
21,220.0,311.1111722222222,3036389.5761906286,1261.7242806369977,0.006719606164180435,11.38538124909714,6.2891102951817e-07,2.021755600149928,3037651.300471266
22,220.0,325.92598518518514,3036389.5761906286,1311.8833668892494,0.006719269895825329,11.329681757259578,6.288555693800268e-07,2.016399136086822,3037701.459557518
23,220.0,340.7407981481481,3036389.5761906286,1361.9761915780864,0.006718933945509642,11.275895857114907,6.288001586564293e-07,2.0107743462953525,3037751.5523822065
24,220.0,355.5556111111111,3036389.5761906286,1411.9869047239088,0.006718598368235889,11.223963616702596,6.287448065109074e-07,2.0049501452125367,3037801.5630953526
25,220.0,370.37042407407404,3036389.5761906286,1461.912617435716,0.006718263175744535,11.173793493280462,6.286895148042529e-07,1.9989763913797454,3037851.4888080643
26,220.0,385.185237037037,3036389.5761906286,1511.7811070999612,0.006717928268807563,11.125318837951735,6.28634267210243e-07,1.9928981566255097,3037901.357297729
27,220.0,400.00005,3036389.5761906286,1561.583148897874,0.006717593678807842,11.078454602754832,6.285790689949942e-07,1.9867488471013628,3037951.1593395267
28,220.0,414.81486296296293,3036389.5761906286,1611.3186852877907,0.006717259406631906,11.033130172213065,6.285239202704689e-07,1.9805574755272137,3038000.894875916
29,220.0,429.6296759259259,3036389.5761906286,1660.992182969655,0.006716925436036384,10.989274924473646,6.284688183843055e-07,1.9743474792042028,3038050.568373598
30,220.0,444.4444888888888,3036389.5761906286,1710.607840027443,0.006716591752085041,10.946822362399969,6.284137608781716e-07,1.9681382863067791,3038100.1840306562
31,220.0,459.25930185185183,3036389.5761906286,1760.168452239117,0.006716258344235297,10.905706055270702,6.283587460518554e-07,1.9619450820569102,3038149.7446428677
32,220.0,474.0741148148148,3036389.5761906286,1809.670370848725,0.006715925225422337,10.865865558868515,6.283037760421878e-07,1.9557808853639225,3038199.2465614774
33,220.0,488.8889277777777,3036389.5761906286,1859.12407376219,0.0067155923592622955,10.827240926089635,6.282488447782212e-07,1.9496556956650948,3038248.7002643906
34,220.0,503.7037407407407,3036389.5761906286,1908.5324618054713,0.006715259733598715,10.789781438115378,6.281939504105135e-07,1.9435791024900813,3038298.108652434
35,220.0,518.5185537037037,3036389.5761906286,1957.8865786615045,0.006714927380504529,10.753431741015431,6.281390981902913e-07,1.937557105101014,3038347.46276929
36,220.0,533.3333666666666,3036389.5761906286,2007.1898489544608,0.006714595288274645,10.718141706328828,6.280842861598509e-07,1.931595019418488,3038396.766039583
37,220.0,548.1481796296296,3036389.5761906286,2056.4505152442284,0.006714263427749551,10.683864759019349,6.280295095036895e-07,1.9256972493798026,3038446.0267058727
38,220.0,562.9629925925925,3036389.5761906286,2105.675397200122,0.006713931774099791,10.650557035330534,6.279747641625546e-07,1.9198672388608666,3038495.2515878286
39,220.0,577.7778055555555,3036389.5761906286,2154.858356625303,0.006713600348271529,10.618176617596035,6.279200536397344e-07,1.9141075261245946,3038544.434547254
40,220.0,592.5926185185185,3036389.5761906286,2203.9955290494545,0.0067132691644873595,10.586684806319086,6.278653802498729e-07,1.9084202820474678,3038593.571719678
41,220.0,607.4074314814815,3036389.5761906286,2253.0912523567995,0.006712938207433345,10.556042661711428,6.278107414610239e-07,1.9028064576721524,3038642.6674429853
