,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,total_mass,DM_fraction
0,1000.0,249.15263050847457,115107.43266237757,1050.9332839762817,0.29030117919312004,11.810473176385578,0.0032243716853663485,2.03214562081263,2.0353699924979964,0.0015841698056131299
1,1442.1294733199093,284.74584915254235,138475.9693501087,1172.228510785058,0.28928080138500756,11.7036162156615,0.003826709129870413,2.030308945080155,2.0341356542100253,0.0018812457870989677
2,2079.737417817959,284.74584915254235,166645.27783400405,1172.228510785058,0.28839311718641897,11.744524178008096,0.004543647340198654,2.02869121893413,2.033234866274329,0.0022346888771017236
3,2999.2506270015206,284.74584915254235,200630.02242074473,1172.228510785058,0.2870949014539454,11.79200850164299,0.005373056814571744,2.0259767360231646,2.0313497928377364,0.0026450672520884452
4,4325.3077270721105,320.33906779661015,241662.97889609216,1292.9760109350764,0.2851204542222147,11.72356439307318,0.006313327985794474,2.023437338960624,2.0297506669464185,0.0031103958178727055
5,6237.653754389036,320.33906779661015,291259.2619565415,1292.9760109350764,0.2829600975042113,11.790367153952769,0.00739845985886467,2.0198727733373616,2.027271233196226,0.003649467193987727
6,8995.504323569015,355.93228644067796,351281.0044283415,1413.2572445109167,0.2801281813423101,11.756911979149839,0.008610515733702272,2.0166614381512824,2.025271953884985,0.004251535561525513
7,12972.681912395563,391.52550508474576,424028.0629242992,1533.1034338131446,0.2768024454509694,11.747076051870783,0.009963264838414799,2.0126827662445956,2.0226460310830103,0.004925856865365634
8,18708.28693386971,462.7119423728813,512350.26022661466,1771.7102015913501,0.27282587601461455,11.673333493263998,0.011442179452665308,2.008019677631838,2.0194618570845035,0.005665954725772528
9,26979.771982659233,498.3051610169491,619797.1592687627,1890.5338323129863,0.26836397200797624,11.720328343039506,0.013054062865622022,2.0035549622229736,2.0166090250885955,0.0064732740472826745
10,38908.324359643644,569.4915983050847,750825.7262975089,2127.3550978642766,0.2631881850624315,11.721090570521742,0.014757407774614937,1.9984133496217173,2.0131707573963324,0.007330430228234062
11,56110.84131653314,676.2712542372881,911060.1213939716,2480.8318788577676,0.2573088363115556,11.7011773856027,0.01652066013104979,1.9931766204264278,2.0096972805574778,0.00822047195409801
12,80919.09803534886,818.6441288135593,1107637.476268327,2949.5005584732653,0.250736881390952,11.683715020699934,0.018301121804518372,1.9878250856245216,2.0061262074290402,0.009122617379079183
13,116695.81623123962,996.6102220338983,1349686.8241425517,3532.0022991665296,0.24349245077445886,11.686315065908117,0.02004615161550871,1.9825090075762641,2.0025551591917727,0.010010286869500912
14,168290.47600019467,1281.3559711864407,1648981.3845446086,4458.2241833487715,0.2355735448585319,11.654675848424645,0.02168731865391438,1.977526644425574,1.9992139630794883,0.010847922760857637
15,242696.6555189178,1637.2881576271186,2020873.3785701506,5608.693226938357,0.2270863381017579,11.660265959274497,0.023170167331587586,1.9730048722442632,1.9961750395758509,0.011607282363630197
16,350000.0,2100.0,2485427.7190797515,7095.599560146428,0.21810992774255838,11.692633749823008,0.024433737007194457,1.9687692443279905,1.993202981335185,0.012258529229585565
