,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2
0,1100.0,173,7976511.120482587,606.390592084128,0.005800717888544737,13.087682864201367,1.0202481374187591e-06,2.471094657660359
1,1323530479.4117646,173,38897339381.75276,606.390592084128,0.0013058695426440708,13.140797859414613,4.7390726318492694e-05,2.1588084945855956
2,2647059858.8235292,173,60631475219.488594,606.390592084128,0.0011842815806155243,12.95908580103672,5.273410138136511e-05,1.9893165590205566
3,3970589238.235294,173,78888300854.19835,606.390592084128,0.0011155141570053841,12.7511193719729,5.554141645408233e-05,1.8443264548495826
4,5294118617.6470585,173,95262846600.27052,606.390592084128,0.0010678441837684465,12.527579181583699,5.732505197959826e-05,1.7127032715096906
5,6617647997.058823,173,110397146330.76222,606.390592084128,0.0010315468005490068,12.29166767912881,5.856498926443533e-05,1.5900808063492968
6,7941177376.470588,173,124631030664.82079,606.390592084128,0.0010023515188706646,12.044543968576352,5.94736131700067e-05,1.4742263776910092
7,9264706755.882353,173,138170726617.68936,606.390592084128,0.0009780059053729996,11.786530600334949,6.016249597009499e-05,1.3638308884743569
8,10588236135.294117,173,151151820267.11032,606.390592084128,0.0009571773397698577,11.517487601319912,6.069700110740064e-05,1.258055054337487
9,11911765514.705881,173,163670491946.9218,606.390592084128,0.0009390120570659418,11.237033952840877,6.111843054870013e-05,1.1563617317702752
10,13235294894.117645,173,175798729980.15247,606.390592084128,0.0009229335655705561,10.944546693204225,6.145430963133344e-05,1.0583808001687511
11,14558824273.529411,173,187588847882.35794,606.390592084128,0.000908531358663455,10.639193972427869,6.172384843824814e-05,0.9638636348100602
12,15882353652.941175,173,199083989594.1833,606.390592084128,0.0008955036071198972,10.319967339943334,6.194089083902334e-05,0.8726615613158473
13,17205883032.35294,173,210317613794.68112,606.390592084128,0.0008836232363380369,9.985592189988052,6.211569069672079e-05,0.7846830059278342
14,18529412411.764706,173,221319436528.4499,606.390592084128,0.0008727145322463796,9.634556196251626,6.225601783350742e-05,0.6999053672034294
15,19852941791.176468,173,232111125669.2771,606.390592084128,0.0008626388465438545,9.264955509063768,6.23678726963864e-05,0.6183418174185897
16,21176471170.588234,173,242712548899.51923,606.390592084128,0.0008532847619623264,8.874527411717464,6.245597492633648e-05,0.5400723850280188
17,22500000550.0,173,253140278692.9183,606.390592084128,0.0008445616358908672,8.460319112528914,6.25240858964201e-05,0.4651987302095234
18,23823529929.411762,173,263407700316.20532,606.390592084128,0.0008363945974969481,8.018668716000063,6.257524647409335e-05,0.3938926008751416
19,25147059308.82353,173,273527989750.82053,606.390592084128,0.000828721119342632,7.544698289589256,6.261193571131301e-05,0.3263676304835303
20,26470588688.23529,173,283512180943.78546,606.390592084128,0.000821488723101377,7.031842324011922,6.263620242117086e-05,0.26290955086828094
21,27794118067.647057,173,293368966120.20233,606.390592084128,0.0008146531598121567,6.470760039262958,6.264977083854816e-05,0.20388228981963138
22,29117647447.058823,173,303106918589.00696,606.390592084128,0.0008081749464581449,5.847593212068066,6.265402038992666e-05,0.14977867064491732
23,30441176826.470585,173,312734325055.0225,606.390592084128,0.0008020214186828112,5.139699282112945,6.265017617550796e-05,0.10125557251168868
24,31764706205.88235,173,322257562506.8553,606.390592084128,0.0007961639204359809,4.305526491463351,6.263926490802819e-05,0.059271912646709835
25,33088235585.294117,173,331682227263.3376,606.390592084128,0.0007905770997973405,3.249666213981781,6.262215651111511e-05,0.02538185521541634
26,34411764964.70588,173,341013913314.1633,606.390592084128,0.0007852387603791904,1.5875546602170603,6.259960090804515e-05,0.002947912465376835
27,35735294344.117645,173,350258173127.2939,606.390592084128,0.0007801294126857863,0.029923977581222224,6.257225362582124e-05,1.9784029077107943e-08
28,37058823723.52941,173,359419619344.7838,606.390592084128,0.0007752316105534556,0.012601437322578488,6.254067371051052e-05,1.4847284663342704e-09
29,38382353102.94118,173,368501933136.2434,606.390592084128,0.000770529881407153,0.00808778708756486,6.25053546861654e-05,3.9450573209955316e-10
30,39705882482.352936,173,377508755820.2845,606.390592084128,0.0007660102062333309,0.00600981028361861,6.24667206761694e-05,1.6269008470640845e-10
31,41029411861.7647,173,386443728715.51917,606.390592084128,0.0007616600652889745,0.004814258795247762,6.24251475988429e-05,8.406362316305088e-11
32,42352941241.17647,173,395310484136.51276,606.390592084128,0.0007574682728051205,0.004037073863959356,6.238097310375682e-05,4.9828400076838233e-11
33,43676470620.588234,173,404112168738.3844,606.390592084128,0.000753424571128252,0.00349107771384005,6.233448671689516e-05,3.2390603319469143e-11
34,45000000000.0,173,412851206216.84515,606.390592084128,0.0007495196879758268,0.0030862710222691633,6.228594745600008e-05,2.2495959490629883e-11
