,Unnamed: 0,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,total_mass,radius
0,30,1198354.248046875,2122.449912583048,5149863.618385013,6595.349737749144,0.1862142879445067,10.736132760919691,0.0266256601184338,1.3047680422307653,1.331393702349199,10.736132760919691
1,29,1200917.5415039062,1423.0495467229655,5156651.306478861,4497.148640168897,0.1862150020345579,8.476985833576954,0.0266467005401023,0.5705732778368017,0.597219978376904,8.476985833576954
2,30,1318145.4956054688,1423.0495467229655,5462450.173464718,4497.148640168897,0.1837632892191636,7.322475022991804,0.0266603895349667,0.3583912672434234,0.3850516567783902,7.322475022991804
3,30,1378681.9427490234,1423.0495467229655,5617084.286639183,4497.148640168897,0.1825846950742419,6.583520393786243,0.0266596974814283,0.2574293322253366,0.284089029706765,6.583520393786243
4,29,1167936.4990234375,1165.2290593900389,5068965.46480681,3723.687178170117,0.1869712241097752,6.048607526144704,0.0266463281763604,0.1982927065376433,0.2249390347140038,6.048607526144704
5,29,1191347.9125976562,1165.2290593900389,5131287.364835145,3723.687178170117,0.1864471441721931,5.6347911852272095,0.0266521547250918,0.1596180121783733,0.1862701669034651,5.6347911852272095
6,30,1209248.2452392578,1165.2290593900389,5178680.057815209,3723.687178170117,0.1860535170683358,5.298249301573599,0.0266559146620511,0.1322920548456092,0.1589479695076603,5.298249301573599
7,30,1223613.368988037,1165.2290593900389,5216554.446160265,3723.687178170117,0.1857420033617943,5.015393359416492,0.0266585171855998,0.1119699785930281,0.138628495778628,5.015393359416492
8,30,1235586.085510254,1165.2290593900389,5248015.176091692,3723.687178170117,0.1854853878825449,4.771185467125088,0.0266604225695872,0.0962402174826246,0.1229006400522119,4.771185467125088
9,30,1245828.5789489746,1165.2290593900389,5274854.076036394,3723.687178170117,0.1852677558246465,4.556581165979528,0.0266618540411063,0.0837255622906384,0.1103874163317448,4.556581165979528
10,30,1254805.446243286,1165.2290593900389,5298320.217684792,3723.687178170117,0.1850785063527521,4.364635125862265,0.0266629672663961,0.0735146718879827,0.1001776391543789,4.364635125862265
11,30,1262805.0579071045,1165.2290593900389,5319187.873692464,3723.687178170117,0.1849111106004952,4.19101401489174,0.0266638513493647,0.0650391319794876,0.0917029833288524,4.19101401489174
12,30,1270057.042312622,1165.2290593900389,5338069.915051639,3723.687178170117,0.1847602622676111,4.031983066835111,0.0266645663165897,0.0578812328669346,0.0845457991835243,4.031983066835111
13,30,1276710.924911499,1165.2290593900389,5355365.364453675,3723.687178170117,0.1846226585987374,3.8851365332279584,0.0266651512864688,0.0517640229408758,0.0784291742273446,3.8851365332279584
