,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,central_density
0,250000000.0,750,13694578136.658188,2723.8660154289573,0.001618689418710861,10.750202042408459,3.397002036453796e-05,1.9369427699198631,13694580860.524202
1,1078947368.4210525,750,34170312147.48914,2723.8660154289573,0.001342650065684461,11.088044170049606,4.573897494145573e-05,1.9879245356761792,34170314871.355156
2,1907894736.8421052,750,49118339171.306145,2723.8660154289573,0.001241101485193716,11.270940428550691,5.027492602300121e-05,2.0101169425611647,49118341895.17216
3,2736842105.263158,750,61952002790.711006,2723.8660154289573,0.0011785569965161765,11.403087059221786,5.297603187936141e-05,2.023223355779047,61952005514.57702
4,3565789473.6842103,750,73548398157.93831,2723.8660154289573,0.0011335749534746363,11.507752926698728,5.482733211107625e-05,2.031528256838758,73548400881.80432
5,4394736842.105263,750,84300641478.04527,2723.8660154289573,0.0010985868663644595,11.594638816195394,5.6192681296083494e-05,2.036787743259144,84300644201.91129
6,5223684210.526316,750,94426568653.25769,2723.8660154289573,0.0010700419512693954,11.66885558837506,5.724643466753995e-05,2.039914185425574,94426571377.1237
7,6052631578.947368,750,104062183988.79979,2723.8660154289573,0.0010459908053457377,11.733491275672856,5.8085258776105264e-05,2.0414529117563114,104062186712.6658
8,6881578947.368421,750,113299358648.74323,2723.8660154289573,0.0010252486207931169,11.790553012107253,5.876811591049546e-05,2.041753996397619,113299361372.60924
9,7710526315.789474,750,122205193435.3899,2723.8660154289573,0.0010070422990179745,11.841443489966315,5.9333442065706865e-05,2.04106014457721,122205196159.2559
10,8539473684.2105255,750,130828156952.19705,2723.8660154289573,0.0009908400199474979,11.887175767314302,5.980757745416987e-05,2.0395455215184826,130828159676.06306
11,9368421052.631578,750,139206645737.15753,2723.8660154289573,0.0009762600223561361,11.928532445420206,6.02093009176903e-05,2.037342563374298,139206648461.02356
12,10197368421.052631,750,147369900762.41833,2723.8660154289573,0.000963019401324684,11.966090626751747,6.0552441202452176e-05,2.034549552519013,147369903486.28436
13,11026315789.473684,750,155342801015.71298,2723.8660154289573,0.0009509018079757932,12.000342553962208,6.084744994917824e-05,2.031248435066356,155342803739.579
14,11855263157.894735,750,163144483057.43616,2723.8660154289573,0.0009397414007769611,12.031659168285799,6.110234510950536e-05,2.027501115755237,163144485781.3022
15,12684210526.315788,750,170792645236.07263,2723.8660154289573,0.0009294039925564809,12.06035019202121,6.132346990103643e-05,2.023359104395143,170792647959.93866
16,13513157894.736841,750,178300411461.46136,2723.8660154289573,0.00091978222556623,12.086686944797629,6.151586613118551e-05,2.0188669017629803,178300414185.3274
17,14342105263.157894,750,185679468609.7362,2723.8660154289573,0.0009107880961110736,12.110883046738136,6.16836194990499e-05,2.014059642649367,185679471333.60223
18,15171052631.578947,750,192940740538.22623,2723.8660154289573,0.0009023493064591017,12.133126066668677,6.183007807451634e-05,2.0089679703293015,192940743262.09225
19,16000000000.0,750,200092644950.444,2723.8660154289573,0.0008944039433687769,12.153577576362833,6.195800617691329e-05,2.0036178983045736,200092647674.31003
20,16000000000.0,750,200092644950.444,2723.8660154289573,0.0008944039433687769,12.153577576362833,6.195800617691329e-05,2.0036178983045736,200092647674.31003
21,17172413793.103449,750,210036501818.5198,2723.8660154289573,0.0008839109592041396,12.179713465416604,6.211171972269509e-05,1.995653044842964,210036504542.38583
22,18344827586.206898,750,219798143049.43924,2723.8660154289573,0.0008741829962205364,12.202880007541568,6.223827320329161e-05,1.987270348718242,219798145773.30527
23,19517241379.310345,750,229392705002.26703,2723.8660154289573,0.0008651220517717219,12.223359516523116,6.234191389212195e-05,1.9785149662573385,229392707726.13306
24,20689655172.413795,750,238834099764.2216,2723.8660154289573,0.0008566474696778525,12.241385033603816,6.242607006831952e-05,1.9694241668147805,238834102488.08762
25,21862068965.517242,750,248135018334.81168,2723.8660154289573,0.0008486922977846048,12.25716445168538,6.249354068690719e-05,1.9600303135520487,248135021058.6777
26,23034482758.62069,750,257305132541.2845,2723.8660154289573,0.0008412002471304152,12.270873761918805,6.254663021617743e-05,1.950361179708432,257305135265.1505
27,24206896551.724136,750,266353655725.04385,2723.8660154289573,0.000834123535589746,12.282660808684863,6.258725850561729e-05,1.9404404622089746,266353658448.90988
28,25379310344.827587,750,275289595415.9149,2723.8660154289573,0.0008274213071301799,12.292658391412607,6.261703381471595e-05,1.9302889668117038,275289598139.78094
29,26551724137.931038,750,284120003436.783,2723.8660154289573,0.0008210590837232512,12.300984261287455,6.263734173374988e-05,1.9199250128791199,284120006160.64905
30,27724137931.034485,750,292850850426.6354,2723.8660154289573,0.0008150052473746525,12.307743799672739,6.264929399504129e-05,1.9093648213868901,292850853150.5014
31,28896551724.13793,750,301488095619.933,2723.8660154289573,0.0008092336169146274,12.313024715711968,6.26538988103545e-05,1.898622674205185,301488098343.799
32,30068965517.24138,750,310037615014.40015,2723.8660154289573,0.0008037208210736064,12.316913858831516,6.265200979460597e-05,1.8877108876173618,310037617738.2662
33,31241379310.34483,750,318504143480.3444,2723.8660154289573,0.0007984462346864074,12.319482474702639,6.264436134044862e-05,1.8766412480130137,318504146204.21045
34,32413793103.448277,750,326891587928.1807,2723.8660154289573,0.0007933915571798928,12.320795545080836,6.263159472600643e-05,1.865424509758387,326891590652.04675
35,33586206896.551727,750,335203836692.78754,2723.8660154289573,0.0007885404564601706,12.320913411006675,6.26142679295046e-05,1.8540700758934545,335203839416.65356
36,34758620689.655174,750,343444778109.0433,2723.8660154289573,0.000783878330873669,12.319891480784937,6.259287053675585e-05,1.8425856447578248,343444780832.9093
