,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,total_mass,radius
0,1254.7243696651321,0.11964784740406322,8632047.170944754,196.17127121862626,0.005730183684143818,0.062220822227075034,1.061605757486817e-06,1.772587025244465e-07,1.2388644600112636e-06,0.062220822227075034
1,1434.2415639601768,0.12635169753586628,9353367.17247898,196.18563242118944,0.005658044329071765,0.06305654910703842,1.1049693747817397e-06,1.8449783143101508e-07,1.2894672062127547e-06,0.06305654910703842
2,1639.547252172133,0.1334311633395328,10135349.629304998,196.20079852318042,0.005586561454940863,0.06390396687924792,1.1501201795080337e-06,1.920368042399875e-07,1.342156983748021e-06,0.06390396687924792
3,1874.3537641591502,0.14090729050226847,10983070.18107987,196.21681465100534,0.0055157447735494245,0.06476405940629808,1.1971311301653548e-06,1.998957500799876e-07,1.3970268802453425e-06,0.06476405940629808
4,2142.92071819541,0.1488023038978339,11902189.186614908,196.23372846271735,0.0054456003226701286,0.06563493649572745,1.2460795603817546e-06,2.0806879357843025e-07,1.4541483539601848e-06,0.06563493649572745
5,2450.114365498166,0.15713967365618206,12898770.595313055,196.25159029023447,0.00537613586325199,0.06651731507519704,1.2970442848596696e-06,2.1657396683125166e-07,1.5136182516909212e-06,0.06651731507519704
6,2801.499903936474,0.16594418493496765,13979232.824935183,196.2704532895686,0.005307357720933612,0.06741283740018043,1.3501065559297412e-06,2.2543966327850412e-07,1.5755462192082454e-06,0.06741283740018043
7,3203.460167085268,0.1752420116003428,15150675.119432926,196.29037359951843,0.005239268849824839,0.06831950261882083,1.405353542848092e-06,2.3465887950157498e-07,1.640012422349667e-06,0.06831950261882083
8,3663.287937934092,0.18506079403607678,16420877.710565649,196.3114105093074,0.005171873896144189,0.06923781134872786,1.4628746062033974e-06,2.4424928866158333e-07,1.7071238948649807e-06,0.06923781134872786
9,4189.317825613853,0.19542972131230796,17798078.009738304,196.3336266356726,0.005105177841051547,0.07017042348854352,1.5227611627572534e-06,2.542529656561595e-07,1.777014128413413e-06,0.07017042348854352
10,4791.124080486952,0.20637961795819854,19291367.210208666,196.35708810994169,0.005039181062542897,0.07111423599118637,1.5851114710029247e-06,2.646511664494101e-07,1.8497626374523348e-06,0.07111423599118637
11,5479.6260955286925,0.21794303559644645,20910643.059672114,196.3818647756642,0.00497388728951111,0.07207300463659896,1.6500231357214227e-06,2.755005644911923e-07,1.925523700212615e-06,0.07207300463659896
12,6267.352159780785,0.23015434971206658,22666471.720735002,196.40803039739805,0.004909296056278934,0.07304467650544999,1.7176017897870885e-06,2.8679447182688067e-07,2.004396261613969e-06,0.07304467650544999
13,7168.650461114157,0.24304986184310967,24570360.01299119,196.4356628812841,0.004845405910567805,0.07402636849910992,1.7879577959809543e-06,2.9851411308026795e-07,2.086471909061222e-06,0.07402636849910992
14,8199.873713646411,0.2566679074971121,26634881.99525397,196.4648445080807,0.004782220101507585,0.07502461893651333,1.8611995072201812e-06,3.1075448786421747e-07,2.1719539950843986e-06,0.07502461893651333
15,9379.801163267439,0.2710489701140874,28873699.109650034,196.49566217936774,0.004719736904080487,0.07603761629166357,1.937445032305586e-06,3.2351318775025063e-07,2.2609582200558365e-06,0.07603761629166357
16,10729.955091783631,0.286235801414846,31301503.96785593,196.52820767766988,0.004657952665508886,0.07706147365159718,2.0168180317054948e-06,3.367587933187545e-07,2.353576825024249e-06,0.07706147365159718
17,12274.917321062094,0.3022735484924131,33934266.99368201,196.56257794129465,0.004596866570751151,0.07809840204869449,2.0994427834107793e-06,3.5053709273405744e-07,2.449979876144837e-06,0.07809840204869449
18,14042.803969246961,0.3192098880243572,36789371.28937308,196.59887535472407,0.004536477109742256,0.07915077518443665,2.1854489331339805e-06,3.648997696789532e-07,2.5503487028129338e-06,0.07915077518443665
19,16065.84570835712,0.33709516800501704,39885574.34777824,196.63720805545083,0.004476780580674643,0.08021636505260991,2.2749742831956593e-06,3.7983725271105004e-07,2.6548115359067094e-06,0.08021636505260991
20,18380.915271193226,0.3559825574189604,43243240.42312202,196.67769025819788,0.004417774245015735,0.08129579156726535,2.368159293720958e-06,3.9537879904568093e-07,2.763538092766639e-06,0.08129579156726535
21,21030.16045962613,0.3759282043006247,46884628.0532095,196.72044259751937,0.004359455848523552,0.08239334170136536,2.4651471818407715e-06,4.1161018876475107e-07,2.8767573706055225e-06,0.08239334170136536
22,24061.953657029517,0.39699140265001387,50833725.234773085,196.7655924898354,0.004301819758850564,0.08350393353113836,2.566093270924304e-06,4.2848059756495015e-07,2.9945738684892544e-06,0.08350393353113836
23,27531.577587259017,0.41923476870065635,55116331.87200196,196.81327451601794,0.004244861660167207,0.08462745351546845,2.6711555808237e-06,4.4601019875332044e-07,3.1171657795770205e-06,0.08462745351546845
