e p
2.47264e+02 4.62626e+01
2.56947e+02 4.89608e+01
2.67015e+02 5.17728e+01
2.77483e+02 5.47030e+01
2.88366e+02 5.77563e+01
2.99680e+02 6.09375e+01
3.11441e+02 6.42519e+01
3.23665e+02 6.77047e+01
3.36372e+02 7.13014e+01
3.49578e+02 7.50478e+01
3.63303e+02 7.89499e+01
3.77566e+02 8.30139e+01
3.92388e+02 8.72461e+01
4.07790e+02 9.16532e+01
4.23794e+02 9.62422e+01
4.40423e+02 1.01020e+02
4.57700e+02 1.05995e+02
4.75649e+02 1.11174e+02
4.94298e+02 1.16565e+02
5.13671e+02 1.22177e+02
5.33796e+02 1.28018e+02
5.54702e+02 1.34097e+02
5.76419e+02 1.40425e+02
5.98976e+02 1.47009e+02
6.22406e+02 1.53862e+02
6.46743e+02 1.60992e+02
6.72019e+02 1.68411e+02
6.98270e+02 1.76130e+02
7.25535e+02 1.84161e+02
7.53850e+02 1.92515e+02
7.83255e+02 2.01207e+02
8.13792e+02 2.10248e+02
8.45504e+02 2.19652e+02
8.78434e+02 2.29433e+02
9.12629e+02 2.39607e+02
9.48137e+02 2.50188e+02
9.85006e+02 2.61191e+02
1.02329e+03 2.72634e+02
1.06304e+03 2.84533e+02
1.10431e+03 2.96907e+02
1.14716e+03 3.09772e+02
1.19165e+03 3.23149e+02
1.23784e+03 3.37057e+02
1.28580e+03 3.51516e+02
1.33559e+03 3.66548e+02
1.38727e+03 3.82175e+02
1.44093e+03 3.98420e+02
1.49663e+03 4.15306e+02
1.55446e+03 4.32858e+02
1.61449e+03 4.51101e+02
1.67681e+03 4.70063e+02
1.74149e+03 4.89771e+02
1.80864e+03 5.10252e+02
1.87834e+03 5.31538e+02
1.95069e+03 5.53659e+02
2.02578e+03 5.76647e+02
2.10373e+03 6.00534e+02
2.18464e+03 6.25356e+02
2.26862e+03 6.51147e+02
2.35578e+03 6.77946e+02
2.44624e+03 7.05791e+02
2.54014e+03 7.34721e+02
2.63759e+03 7.64777e+02
2.73873e+03 7.96004e+02
2.84370e+03 8.28445e+02
2.95264e+03 8.62146e+02
3.06570e+03 8.97156e+02
3.18304e+03 9.33525e+02
3.30481e+03 9.71303e+02
3.43118e+03 1.01055e+03
3.56232e+03 1.05131e+03
3.69842e+03 1.09365e+03
3.83966e+03 1.13762e+03
3.98622e+03 1.18330e+03
4.13831e+03 1.23073e+03
4.29614e+03 1.28000e+03
4.45992e+03 1.33117e+03
4.62987e+03 1.38431e+03
4.80622e+03 1.43950e+03
4.98921e+03 1.49681e+03
5.17910e+03 1.55632e+03
5.37613e+03 1.61812e+03
5.58058e+03 1.68230e+03
5.79272e+03 1.74894e+03
6.01283e+03 1.81814e+03
6.24123e+03 1.88999e+03
6.47821e+03 1.96460e+03
6.72409e+03 2.04206e+03
6.97921e+03 2.12249e+03
7.24392e+03 2.20600e+03
7.51856e+03 2.29270e+03
7.80351e+03 2.38272e+03
8.09916e+03 2.47618e+03
8.40590e+03 2.57320e+03
8.72415e+03 2.67393e+03
9.05433e+03 2.77850e+03
9.39689e+03 2.88706e+03
9.75229e+03 2.99976e+03
1.01210e+04 3.11675e+03
