,Unnamed: 0,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,total_mass,radius
0,28,1235949.21875,1165.2290593900389,5248967.893151114,3276.434555352264,0.1854770846538136,11.60759569991689,0.0266614681920738,1.3061951224795385,1.332856590671612,11.60759569991689
1,28,1360354.39453125,954.1191056725118,5570487.8828535015,2692.754415731763,0.1829681730807481,9.012459075554943,0.0266734171765634,0.5711755010048288,0.5978489181813923,9.012459075554943
2,28,1194637.4725341797,781.2569215239565,5140013.390709974,2218.7260890507146,0.1864055314149036,7.758827197100641,0.0266649958523321,0.3585203503239203,0.3851853461762525,7.758827197100641
3,28,1244664.4165039062,781.2569215239565,5271807.033083093,2218.7260890507146,0.1853219192897478,6.966641154662589,0.0266733431628857,0.2575742599600849,0.2842476031229707,6.966641154662589
4,28,1276812.3886108398,781.2569215239565,5355628.883422249,2218.7260890507146,0.1846492236974108,6.396917816639333,0.0266765295102503,0.1985330627458609,0.2252095922561112,6.396917816639333
5,28,1299839.308166504,781.2569215239565,5415268.293457726,2218.7260890507146,0.184178138511539,5.9560219685893,0.0266778517388724,0.1597886563081804,0.1864665080470529,5.9560219685893
6,28,1317504.672241211,781.2569215239565,5460801.924111758,2218.7260890507146,0.1838225779604235,5.598163241147389,0.0266783544394644,0.1324184169440581,0.1590967713835226,5.598163241147389
7,28,1331730.9509277344,781.2569215239565,5497335.993551374,2218.7260890507146,0.1835398695745183,5.29749175724672,0.0266784505170053,0.112045248326811,0.1387236988438164,5.29749175724672
8,29,1343586.183166504,781.2569215239565,5527690.826449034,2218.7260890507146,0.1833066737457149,5.038709285944239,0.026678327506693,0.0963098723567931,0.1229881998634861,5.038709285944239
9,29,1353759.254074097,781.2569215239565,5553674.270973481,2218.7260890507146,0.1831082904973192,4.811118862496505,0.0266780790207567,0.0837710544966401,0.1104491335173968,4.811118862496505
10,29,1362672.0390319824,781.2569215239565,5576390.668696555,2218.7260890507146,0.1829357326279994,4.608010391189473,0.0266777554971961,0.0735567855814495,0.1002345410786457,4.608010391189473
11,29,1370628.9291381836,781.2569215239565,5596633.136372733,2218.7260890507146,0.1827827199866982,4.424244032805674,0.0266773849718351,0.0650714681858227,0.0917488531576579,4.424244032805674
12,29,1377843.532180786,781.2569215239565,5614956.763577826,2218.7260890507146,0.1826447718441972,4.256105408562829,0.0266769836620247,0.0579098641775404,0.0845868478395651,4.256105408562829
13,29,1384476.0540008545,781.2569215239565,5631776.63385658,2218.7260890507146,0.1825186083661092,4.100714582891922,0.0266765608361761,0.0517818705712557,0.0784584314074319,4.100714582891922
14,29,1390638.6386871338,781.2569215239565,5647383.086618464,2218.7260890507146,0.1824019468719855,3.9560607987273633,0.026676122428011,0.0464843454883085,0.0731604679163195,3.9560607987273633
15,29,1396427.4097442627,781.2569215239565,5662023.962466903,2218.7260890507146,0.1822928937079646,3.820346413612475,0.0266756712356421,0.0418576581556612,0.0685333293913034,3.820346413612475
16,28,1135687.063217163,639.7129811155759,4982470.908599875,1834.0174291377584,0.1877564190645514,3.6911781262608687,0.0266534252808933,0.0377505349035101,0.0644039601844034,3.6911781262608687
17,28,1140111.414527893,639.7129811155759,4994382.368591973,1834.0174291377584,0.1876534678471264,3.56944214317894,0.0266548433547353,0.0341372141909044,0.0607920575456398,3.56944214317894
18,28,1144383.5702896118,639.7129811155759,5005870.339700499,1834.0174291377584,0.1875544202956454,3.453026379328408,0.0266561732890992,0.0309063550218594,0.0575625283109587,3.453026379328408
19,28,1148538.2417678833,639.7129811155759,5017029.504741995,1834.0174291377584,0.1874584527229821,3.341198485637761,0.0266574299769075,0.0280025109380453,0.0546599409149528,3.341198485637761
20,28,1152610.1402282715,639.7129811155759,5027954.074168843,1834.0174291377584,0.1873647379327694,3.233226399081901,0.0266586269218747,0.0253782065685882,0.052036833490463,3.233226399081901
