,central_pressure,radius,mass
138,2.725493463450737e-09,23351761.737895895,2107998.5928805927
139,3.3589434410916584e-09,23351687.254374873,2108003.593106383
140,4.139617721250353e-09,23351674.36289045,2108005.0363116893
141,5.1017336786476786e-09,23351650.481958553,2108004.8607225106
142,6.28746137457019e-09,23351646.040712386,2108004.3673600536
143,7.74877189339897e-09,23351661.022570733,2108004.0420811586
144,9.549715263266237e-09,23351936.194368623,2108003.922409994
145,1.1769227803330893e-08,23351645.26020261,2108003.914600282
146,1.4504591945218072e-08,23351725.17104101,2108003.9395159804
147,1.787570017446191e-08,23351598.25822165,2108003.960181447
148,2.2030309982805485e-08,23351646.75326725,2108003.9695213046
149,2.7150520158750004e-08,23351647.67474429,2108003.971026543
