,central_pressure,radius,mass
118,6.674430281787705e-42,6.9972343473551505e+22,6.133574186460913e+21
119,8.225678805939863e-42,6.746761990209487e+22,6.06084907979673e+21
120,1.013746326830542e-41,6.507355703819977e+22,5.973641942703163e+21
121,1.2493578212904676e-41,6.282747648609002e+22,5.872444774100644e+21
122,1.5397293428423714e-41,6.080239482440511e+22,5.757595875717265e+21
123,1.8975880318746666e-41,5.912303126176885e+22,5.630694243999305e+21
124,2.3386190277225916e-41,5.795309708948886e+22,5.498469783305196e+21
125,2.882152956784347e-41,5.742068009775962e+22,5.377502582208778e+21
126,3.552013204301245e-41,5.747542960706058e+22,5.290897988700289e+21
127,4.377560106180854e-41,5.7830769233332644e+22,5.250769876316582e+21
128,5.394977828354077e-41,5.815712716850292e+22,5.245874647793964e+21
129,6.648860338282145e-41,5.831647177480291e+22,5.254364078258932e+21
130,8.194165982600218e-41,5.834825984172678e+22,5.262067440758236e+21
131,1.0098626341089735e-40,5.833171512116629e+22,5.265498015872664e+21
132,1.2445714938348055e-40,5.831239889334824e+22,5.266080582678206e+21
133,1.5338305933389477e-40,5.8302696340710505e+22,5.265680727259706e+21
134,1.8903183149515223e-40,5.830076458033323e+22,5.26526003191235e+21
135,2.329659707766391e-40,5.830105607561249e+22,5.265055272330168e+21
136,2.871111341969616e-40,5.8302105822673695e+22,5.2650090493851e+21
137,3.5384053346958333e-40,5.830271349541061e+22,5.265025136630872e+21
138,4.360789541521177e-40,5.830288344148503e+22,5.265048180216672e+21
139,5.374309505746651e-40,5.830284755221025e+22,5.265061156657871e+21
140,6.6233883540005624e-40,5.830282128982943e+22,5.265065045544267e+21
141,8.162773885836281e-40,5.830277759184247e+22,5.265064692612912e+21
142,1.0059938199312299e-39,5.830277045282532e+22,5.265063454442379e+21
143,1.2398035029438346e-39,5.830253710256064e+22,5.265062616106723e+21
144,1.527954442122597e-39,5.830292714892574e+22,5.265062298814852e+21
145,1.8830764485329423e-39,5.830276425826667e+22,5.265062272877022e+21
146,2.3207347112348902e-39,5.830272219131179e+22,5.265062334061327e+21
147,2.8601120279139043e-39,5.830269282352401e+22,5.265062387419542e+21
148,3.5248495972488755e-39,5.830277556466426e+22,5.265062410711508e+21
149,4.344083225399999e-39,5.830255708120602e+22,5.265062415765013e+21
