,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,total_mass,radius
0,1173.6069950382216,0.11964784740406322,8292672.619138858,196.17127121862626,0.005766495538584378,0.11409921346101072,1.040572265276705e-06,1.0930617597682606e-06,2.133634025044966e-06,0.11409921346101072
1,1343.9257876421152,0.12635169753586628,8995303.538940653,196.18563242118944,0.005693046799808405,0.1156548975415962,1.083661351696e-06,1.1383847722258374e-06,2.2220461239218376e-06,0.1156548975415962
2,1538.991248021557,0.1334311633395328,9757556.240382887,196.20079852318042,0.005620293237443464,0.11722893854639688,1.1285348259944094e-06,1.1855005009654118e-06,2.314035326959821e-06,0.11722893854639688
3,1762.397016980617,0.14090729050226847,10584501.67616307,196.21681465100534,0.005548244247652575,0.11882389022243696,1.1752653812605256e-06,1.2345503355989918e-06,2.4098157168595174e-06,0.11882389022243696
4,2018.2576483940466,0.1488023038978339,11481671.761864474,196.23372846271735,0.005476908820130504,0.12044225167305045,1.2239288919470747e-06,1.2856843700721976e-06,2.5096132620192722e-06,0.12044225167305045
5,2311.2943290796693,0.15713967365618206,12455004.067523919,196.25159029023447,0.005406292227589531,0.12208316333341661,1.2746046419018466e-06,1.338953083030771e-06,2.6135577249326174e-06,0.12208316333341661
6,2646.920598670772,0.16594418493496765,13510995.33597026,196.2704532895686,0.005336397881241051,0.12374363537233961,1.3273756471413377e-06,1.3943343588641077e-06,2.7217100060054454e-06,0.12374363537233961
7,3031.3148818158197,0.1752420116003428,14656651.148386879,196.29037359951843,0.005267232025893571,0.12542963822733777,1.3823260096647765e-06,1.4521086520974533e-06,2.83443466176223e-06,0.12542963822733777
8,3471.578740250561,0.18506079403607678,15899563.853154525,196.3114105093074,0.005198795243605253,0.12713507105087896,1.4395472452125895e-06,1.51215047139992e-06,2.9516977166125097e-06,0.12713507105087896
9,3975.815998834082,0.19542972131230796,17247925.114667412,196.3336266356726,0.005131092712299948,0.12886717036256132,1.4991300074689442e-06,1.574802440468717e-06,3.0739324479376612e-06,0.12886717036256132
10,4553.337154475275,0.20637961795819854,18710821.374700934,196.35708810994169,0.005064124463137839,0.13062230309800066,1.561171894060938e-06,1.6400289839753537e-06,3.201200878036292e-06,0.13062230309800066
11,5214.804440532271,0.21794303559644645,20298053.21776186,196.3818647756642,0.004997890908775144,0.1323980815139243,1.6257739410186034e-06,1.7078310635247108e-06,3.333605004543314e-06,0.1323980815139243
12,5972.4098603935545,0.23015434971206658,22019992.857788406,196.40803039739805,0.0049323930959997596,0.13419918373774886,1.6930384801705621e-06,1.7784832666237524e-06,3.4715217467943145e-06,0.13419918373774886
13,6840.132347095141,0.24304986184310967,23888084.2319636,196.4356628812841,0.004867629652279237,0.13602407356845428,1.7630745140350597e-06,1.852029192194125e-06,3.6151037062291847e-06,0.13602407356845428
