,central_pressure_1,central_pressure_2,central_density_1,central_density_2,radius_1,radius_2,mass_1,mass_2,total_mass,radius,DM_fraction
0,26560691926.021576,151.17708626015678,284187155909.93066,551.9454652951881,0.0008210113856931549,1.608942755477424,6.263745348893694e-05,0.0030687675531686294,0.0031314050066575663,1.608942755477424,0.02
1,26709428874.11518,151.17708626015678,285300078887.4839,551.9454652951881,0.0008202271458125324,1.2212882683568946,6.263940097065636e-05,0.0013414691478653821,0.0014041085488360385,1.2212882683568946,0.0446153846153846
2,26764797295.476913,151.17708626015678,285713966010.9164,551.9454652951881,0.0008199364627338982,1.0457615090793033,6.264009220643668e-05,0.000842071409598495,0.0009047115018049317,1.0457615090793033,0.0692307692307692
3,26795717322.99061,151.17708626015678,285945002166.9029,551.9454652951881,0.0008197744279311727,0.9366028476561851,6.264047032535676e-05,0.0006048924581810353,0.0006675329285063921,0.9366028476561851,0.0938461538461538
4,26816252314.42971,151.17708626015678,286098402962.1827,551.9454652951881,0.0008196669317614967,0.8587047828382471,6.264071833129264e-05,0.0004661429804776145,0.0005287836988089071,0.8587047828382471,0.118461538461538
5,26831255995.04347,151.17708626015678,286210464626.26166,551.9454652951881,0.0008195884494215799,0.7987578657963593,6.264089796603775e-05,0.0003751600079969592,0.0004378009059629969,0.7987578657963593,0.143076923076923
6,26842927060.884953,151.17708626015678,286297624059.6463,551.9454652951881,0.0008195274337559646,0.7502780545666798,6.264103678624584e-05,0.0003109038267509382,0.000373544863537184,0.7502780545666798,0.167692307692308
7,26852420173.088955,151.17708626015678,286368511383.0295,551.9454652951881,0.0008194778263524863,0.7096600689207639,6.264114911186569e-05,0.0002630884003092679,0.0003257295494211336,0.7096600689207639,0.192307692307692
8,26860399088.95452,151.17708626015678,286428086871.35645,551.9454652951881,0.000819436146849411,0.6747406364801377,6.26412431126447e-05,0.00022612809819271625,0.00028876934130536095,0.6747406364801377,0.216923076923077
9,26867278656.79355,151.17708626015678,286479450308.1428,551.9454652951881,0.0008194002212164927,0.6441155598887718,6.264132386266737e-05,0.00019671168081404747,0.00025935300467671483,0.6441155598887718,0.241538461538461
10,26873342356.285835,151.17708626015678,286524719606.06757,551.9454652951881,0.0008193685647057906,0.6167846934854901,6.264139480677072e-05,0.00017271717212124545,0.00023535856692801616,0.6167846934854901,0.266153846153846
11,26878773412.10247,151.17708626015678,286565263600.64594,551.9454652951881,0.0008193402178457315,0.5920956521630462,6.264145816660799e-05,0.00015279432941599688,0.00021543578758260486,0.5920956521630462,0.290769230769231
12,26883713564.083363,151.17708626015678,286602141068.4164,551.9454652951881,0.000819314438815614,0.5695230545265577,6.264151564980249e-05,0.00013597626876733754,0.00019861778441714002,0.5695230545265577,0.315384615384615
13,26888263067.23721,151.17708626015678,286636100866.26575,551.9454652951881,0.000819290703017103,0.5486925473522166,6.264156846140108e-05,0.00012159466767747524,0.0001842362361388763,0.5486925473522166,0.34
14,26892497977.087868,151.17708626015678,286667711056.09235,551.9454652951881,0.0008192686125910807,0.529316659732402,6.2641617512583e-05,0.00010916230056689876,0.00017180391807948176,0.529316659732402,0.364615384615385
15,26896483977.951385,151.17708626015678,286697462174.7874,551.9454652951881,0.0008192478241225789,0.5111403539979857,6.264166358518443e-05,9.82981996320196e-05,0.00016093986321720401,0.5111403539979857,0.389230769230769
16,26900269468.797478,151.17708626015678,286725715659.73975,551.9454652951881,0.0008192280846023267,0.49397840843981305,6.264170725440441e-05,8.872548695849878e-05,0.0001513671942129032,0.49397840843981305,0.413846153846154
17,26903895934.45735,151.17708626015678,286752781284.1698,551.9454652951881,0.0008192091772581985,0.47767175516238225,6.264174901078876e-05,8.02255954483706e-05,0.00014286734445915936,0.47767175516238225,0.438461538461538
18,26907396217.089016,151.17708626015678,286778904271.8529,551.9454652951881,0.0008191909305199501,0.46209771898278956,6.264178924159184e-05,7.263163417804024e-05,0.00013527342341963208,0.46209771898278956,0.463076923076923
19,26910803158.850502,151.17708626015678,286804329809.7572,551.9454652951881,0.0008191731729304062,0.44713324187622344,6.264182833104964e-05,6.580146836924083e-05,0.00012844329670029048,0.44713324187622344,0.487692307692308
20,26914139230.69204,151.17708626015678,286829225655.4477,551.9454652951881,0.0008191557871826801,0.4327020204400832,6.264186654190419e-05,5.963375066048599e-05,0.0001222756172023902,0.4327020204400832,0.512307692307692
21,26917437274.771652,151.17708626015678,286853836936.57,551.9454652951881,0.0008191386020017811,0.4186856002272068,6.264190425353025e-05,5.402444956089034e-05,0.00011666635381442059,0.4186856002272068,0.536923076923077
22,26920714576.435677,151.17708626015678,286878292663.9042,551.9454652951881,0.0008191215272544684,0.40503636083301825,6.264194166529508e-05,4.891133425268347e-05,0.00011155327591797855,0.40503636083301825,0.561538461538461
23,26923998792.23822,151.17708626015678,286902799219.8724,551.9454652951881,0.0008191044188345751,0.3916679963792226,6.264197909332875e-05,4.422656519077195e-05,0.00010686854428410071,0.3916679963792226,0.586153846153846
24,26927314121.664165,151.17708626015678,286927537165.8845,551.9454652951881,0.0008190871507204135,0.37851610684052867,6.264201681234703e-05,3.991938334899289e-05,0.00010256140016133992,0.37851610684052867,0.610769230769231
25,26930686492.732994,151.17708626015678,286952699937579,551.9454652951881,0.0008190695879593754,0.36551822091607467,6.264205511480561e-05,3.5946773947514256e-05,9.858882906231987e-05,0.36551822091607467,0.635384615384615
26,26934145290.53347,151.17708626015678,286978506738.70984,551.9454652951881,0.0008190515776766873,0.35260981271834574,6.264209433024709e-05,3.2271448240129045e-05,9.491354257037614e-05,0.35260981271834574,0.66
